time_slot,Merged Data for Buttery
1,68.1967
2,69.56905
3,70.46495
4,69.18065
5,70.63505
6,69.3878
7,71.12435
8,70.7708
9,70.382
10,71.74415
11,71.0017
12,70.8211
13,70.20815
14,69.36695
15,69.12865
16,69.8587
17,69.42805
18,69.4884
19,70.7773
20,70.9279
21,70.01885
22,69.58535
23,69.74355
24,68.64705
25,70.2959
26,70.1262
27,71.2384
28,70.0797
29,70.75015
30,68.8165
31,69.96955
32,70.7242
33,70.00345
34,67.9654
35,70.99515
36,70.7865
37,71.34635
38,69.4452
39,71.1606
40,70.2533
41,70.9154
42,71.4328
43,70.6868
44,69.016
45,70.0936
46,70.13505
47,69.13835
48,67.8796
49,69.23335
50,69.57625
51,68.43255
52,70.4132
53,69.70015
54,70.84315
55,71.0836
56,70.2444
57,70.68705
58,70.62465
59,70.8163
60,71.2059
61,69.7795
62,70.9562
63,73.66775
64,72.5777
65,72.09825
66,71.23105
67,70.92655
68,71.9456
69,70.9204
70,72.0209
71,72.0225
72,72.35885
73,70.764
74,70.59935
75,70.01205
76,70.7664
77,71.4729
78,70.3575
79,70.04125
80,69.529
81,69.681
82,70.54285
83,70.60335
84,70.96065
85,72.16735
86,71.19155
87,73.61605
88,69.73415
89,69.5717
90,69.65605
91,71.43045
92,70.11485
93,69.3074
94,69.9229
95,69.73235
96,70.0983
97,69.99885
98,70.23265
99,69.85485
100,70.5002
101,69.84745
102,69.4312
103,71.28975
104,70.4144
105,70.45915
106,70.40605
107,71.11855
108,70.0156
109,71.36675
110,70.4224
111,70.41805
112,70.63575
113,70.84195
114,70.2286
115,69.5473
116,69.9783
117,70.776
118,70.7596
119,68.5245
120,70.08535
121,69.8745
122,69.8792
123,69.67415
124,68.83785
125,69.798
126,69.76505
127,69.2703
128,70.22745
129,69.5898
130,71.19325
131,72.00875
132,69.40295
133,70.7403
134,70.7406
135,70.68275
136,70.3629
137,70.6847
138,70.8523
139,70.06735
140,70.9635
141,70.33535
142,71.1696
143,70.64735
144,70.79815
145,70.04915
146,70.35135
147,71.8168
148,71.2151
149,69.96495
150,71.4741
151,72.96055
152,72.978725
153,72.2747
154,74.343825
155,74.1118
156,75.406825
157,72.61825
158,75.16215
159,75.37925
160,73.16695
161,74.3942
162,72.7206
163,70.8095
164,72.68905
165,73.13465
166,71.4165
167,73.59895
168,73.44275
169,71.347325
170,75.14895
171,74.308825
172,70.38195
173,70.95435
174,73.3099
175,71.529
176,72.2885
177,73.322225
178,71.6244
179,74.647525
180,74.97675
181,74.85115
182,73.2291
183,73.6145
184,71.43415
185,70.2577
186,71.078925
187,68.22135
188,71.04
189,70.5199
190,75.350975
191,73.8674
192,73.1662
193,74.4746
194,72.552875
195,75.2842
196,74.752675
197,74.5669
198,74.615275
199,75.65675
200,74.511025
201,74.23985
202,75.339025
203,71.99655
204,75.369075
205,76.1978
206,73.844525
207,76.21885
208,73.27965
209,74.28425
210,74.9448
211,76.26655
212,73.4447
213,74.43875
214,75.7357
215,73.40995
216,74.6223
217,75.87015
218,73.9183
219,74.71445
220,75.053075
221,74.7104
222,74.4948
223,75.96825
224,73.60365
225,74.3545
226,74.69655
227,75.479025
228,73.6375
229,75.752775
230,73.684475
231,74.418325
232,74.046625
233,76.122175
234,75.5399
235,72.03595
236,75.891375
237,73.6745
238,73.769075
239,75.4829
240,76.04195
241,74.2066
242,74.14575
243,76.5168
244,75.270225
245,75.6774
246,74.708425
247,74.3761
248,75.5646
249,74.45915
250,75.001825
251,74.56135
252,75.22155
253,75.554475
254,74.09895
255,72.55405
256,74.94085
257,74.719575
258,75.1049
259,74.70465
260,75.3173
261,75.2651
262,76.01845
263,74.84585
264,74.0274
265,75.275675
266,74.417425
267,75.448125
268,75.07385
269,75.424525
270,74.836275
271,76.2003
272,76.08115
273,74.99045
274,75.237075
275,76.09625
276,74.492325
277,75.9945
278,75.97825
279,74.6882
280,75.08545
281,75.61805
282,74.910775
283,75.263725
284,74.91565
285,74.804875
286,76.15435
287,74.993125
288,75.7606
289,77.406275
290,77.19355
291,76.36615
292,76.02665
293,77.08335
294,75.7724
295,76.502425
296,76.326225
297,75.07845
298,74.79915
299,75.269725
300,75.2427
301,57.70515
302,59.1753275
303,58.1683125
304,57.2936875
305,59.202925
306,61.2807975
307,62.10912
308,60.4411125
309,60.5178575
310,62.42042
311,60.8806875
312,63.0218375
313,60.0289625
314,57.1889875
315,57.411825
316,62.35781
317,60.7734875
318,60.9437125
319,61.7997025
320,61.055715
321,63.51787
322,60.5727775
323,57.0661625
324,58.038035
325,58.69195
326,58.9918
327,59.991805
328,59.3577425
329,58.725725
330,58.4615375
331,57.33359
332,57.507475
333,58.1130375
334,58.6786
335,62.04334
336,59.4026
337,59.7808425
338,62.0329875
339,60.346175
340,60.1974375
341,60.153025
342,61.1781475
343,62.5947375
344,61.2812
345,65.1830625
346,63.153275
347,61.6770875
348,62.1661
349,63.54374
350,61.4038125
351,60.59322
352,63.786335
353,62.2029
354,59.280275
355,58.3337375
356,60.760895
357,58.30139
358,59.0822175
359,60.1355625
360,60.3980175
361,61.7534625
362,63.7232
363,61.176
364,59.7273075
365,60.3786425
366,61.4104825
367,63.4443275
368,64.0293025
369,62.70485
370,61.7641875
371,62.4292825
372,61.589875
373,62.004425
374,62.45759
375,63.82635
376,62.920885
377,64.91914
378,62.5538275
379,62.5217375
380,59.68655
381,59.818025
382,59.1974125
383,59.93122
384,59.14276
385,59.5797875
386,58.803255
387,60.4869
388,59.9291175
389,57.214125
390,56.887025
391,57.815285
392,57.575895
393,56.852425
394,57.5918125
395,56.9307375
396,56.2953125
397,59.0324125
398,58.7689575
399,59.780705
400,60.6161625
401,59.3485375
402,57.5881725
403,58.5407625
404,58.1489625
405,57.9389625
406,57.7950275
407,56.808125
408,56.608675
409,56.4531425
410,58.7533425
411,57.538725
412,57.33815
413,57.81745
414,59.1671
415,58.8462375
416,59.167025
417,58.4299525
418,57.5467125
419,57.3717375
420,58.05258
421,57.7899925
422,60.20018
423,58.26855
