time_slot,Merged Data for Dining Hall
1,57.801425
2,58.550425
3,56.808875
4,56.290875
5,53.426325
6,55.155175
7,56.5733
8,55.288575
9,58.13415
10,56.486625
11,55.874325
12,55.685575
13,56.167075
14,58.206375
15,58.74495
16,59.530875
17,60.2602
18,61.082225
19,58.353875
20,58.474625
21,55.7197
22,57.97945
23,54.79595
24,52.584175
25,54.103875
26,53.525625
27,53.0972
28,53.77965
29,55.9515
30,58.126575
31,59.75745
32,58.50865
33,55.75345
34,54.703825
35,52.810575
36,54.742375
37,57.92465
38,59.134675
39,56.828875
40,57.505625
41,61.962025
42,58.83685
43,55.937275
44,55.8607
45,56.71425
46,59.33725
47,58.69555
48,61.4265
49,58.099925
50,58.705175
51,56.1122
52,57.147125
53,60.702975
54,58.3891
55,57.804675
56,58.02005
57,60.6017
58,59.3895
59,57.3264
60,58.4717
61,53.764025
62,54.709175
63,53.187575
64,55.3938
65,58.39435
66,60.1481
67,58.4843
68,58.9367
69,58.740375
70,56.961375
71,59.34215
72,59.752275
73,58.43005
74,59.39605
75,57.425425
76,54.3815
77,55.587925
78,55.76475
79,54.470575
80,59.31245
81,58.205325
82,58.833075
83,59.17075
84,58.405875
85,59.263275
86,59.7006
87,61.33235
88,57.22965
89,58.224175
90,55.86115
91,55.1111
92,56.37345
93,55.60455
94,57.967975
95,61.5516
96,59.20385
97,57.499775
98,54.9491
99,57.5338
100,57.797625
101,58.063125
102,57.341625
103,56.544225
104,57.381925
105,57.36155
106,57.618775
107,60.72605
108,62.8299
109,58.626625
110,58.309625
111,57.578225
112,56.34065
113,58.287475
114,60.185875
115,58.034925
116,55.676075
117,59.204575
118,62.393625
119,61.5559
120,61.02925
121,59.187975
122,61.0311
123,55.900575
124,58.4098
125,56.955875
126,57.540275
127,58.940525
128,58.290725
129,58.068925
130,57.658825
131,60.489475
132,63.1752
133,59.7403
134,60.730425
135,60.146275
136,58.071525
137,58.22165
138,60.4071
139,59.995775
140,59.103475
141,58.859575
142,59.0704
143,58.23455
144,59.337775
145,56.66175
146,59.891675
147,57.0788
148,57.5706
149,56.26025
150,57.555325
151,66.882625
152,68.666675
153,64.045025
154,65.5091
155,64.23025
156,64.195175
157,67.5119
158,66.910525
159,65.416675
160,69.025525
161,69.85015
162,68.522675
163,69.812475
164,65.558725
165,63.700925
166,65.19155
167,67.299325
168,68.100625
169,66.613925
170,64.774325
171,66.625425
172,65.290025
173,68.761475
174,69.94485
175,66.9381
176,67.554375
177,70.7075
178,68.84015
179,70.7294
180,69.575825
181,69.3958
182,67.106925
183,68.07795
184,67.584275
185,64.8295
186,64.015325
187,66.885275
188,68.0822
189,69.3119
190,72.6735
191,67.4066
192,66.4828
193,66.01545
194,63.143025
195,66.783575
196,62.095075
197,63.228775
198,63.83765
199,68.9586
200,67.10525
201,65.727725
202,66.8758
203,64.580125
204,68.936975
205,68.614975
206,66.289925
207,67.5908
208,65.3939
209,66.2106
210,68.548025
211,69.98025
212,66.4823
213,70.0382
214,67.038275
215,66.765425
216,69.05175
217,68.9825
218,69.87215
219,73.195625
220,67.39775
221,66.50205
222,70.392325
223,67.0559
224,67.2844
225,66.31815
226,65.156475
227,69.008825
228,69.249325
229,68.657725
230,65.884975
231,65.139475
232,69.190625
233,66.055475
234,68.887075
235,68.10855
236,65.15745
237,67.40375
238,67.581525
239,70.125825
240,64.661825
241,71.185475
242,68.0979
243,69.993
244,70.948675
245,68.433425
246,67.2005
247,69.6483
248,69.034375
249,69.637225
250,70.174575
251,68.314575
252,69.093575
253,67.07345
254,70.38195
255,70.217325
256,71.00495
257,68.204875
258,68.5807
259,70.36455
260,67.444125
261,68.31655
262,69.619525
263,70.4154
264,67.7605
265,68.8507
266,66.4571
267,68.2032
268,68.57365
269,71.17575
270,66.308875
271,69.820375
272,69.304475
273,69.3321
274,68.019425
275,69.513625
276,68.198675
277,69.9629
278,68.185875
279,67.331125
280,69.250325
281,71.208725
282,68.935925
283,69.05195
284,71.3036
285,72.3126
286,69.037175
287,70.6307
288,68.373825
289,69.0725
290,69.77155
291,67.87775
292,69.1403
293,68.3015
294,67.4614
295,68.2449
296,66.447075
297,66.61195
298,67.90165
299,65.737275
300,65.707375
301,58.1755
302,60.769
303,60.49745
304,57.151
305,58.94045
306,59.12785
307,57.43255
308,56.52635
309,57.65625
310,59.2498
311,59.6241
312,61.1836
313,60.0615
314,55.98
315,55.9013
316,55.62405
317,56.7486
318,58.59975
319,60.7874
320,59.7143
321,57.92605
322,59.10285
323,60.08825
324,57.53535
325,57.21985
326,57.60065
327,55.28895
328,59.29275
329,61.01385
330,59.40825
331,60.43925
332,62.0794
333,61.2184
334,58.12455
335,58.63965
336,59.1901
337,60.69855
338,60.10945
339,58.32875
340,61.4945
341,59.86935
342,60.0637
343,61.1329
344,61.51085
345,60.7399
346,61.81285
347,60.1797
348,57.27105
349,61.6273
350,61.22235
351,63.1936
352,62.78605
353,61.91255
354,61.3775
355,60.6883
356,60.93575
357,61.8315
358,61.50985
359,61.7132
360,62.2512
361,61.6825
362,59.5826
363,62.94925
364,64.07055
365,61.63455
366,62.14575
367,63.86085
368,61.8793
369,60.55115
370,62.47985
371,61.67425
372,61.6238
373,61.47125
374,60.84115
375,63.6768
376,61.5498
377,62.1297
378,64.11925
379,64.61825
380,62.7715
381,62.45145
382,63.5074
383,62.5843
384,63.4287
385,62.71355
386,62.276
387,62.59365
388,63.33825
389,60.3477
390,59.13775
391,63.52205
392,62.33585
393,64.13525
394,63.32845
395,62.11165
396,62.1514
397,62.19345
398,66.3731
399,63.20655
400,63.74755
401,64.9983
402,64.637
403,63.42295
404,63.8272
405,65.5343
406,65.6872
407,62.81805
408,62.43775
409,61.3576
410,58.76715
411,57.84505
412,59.7219
413,61.1835
414,62.04385
415,64.32595
416,64.1772
417,63.69225
418,63.79965
419,65.5793
420,61.0839
421,65.86645
422,65.31
423,62.2139
424,63.4092
425,62.63345
426,61.061
427,63.74345
428,63.0921
429,62.90245
430,65.625
431,62.36825
432,62.8655
433,63.20845
434,64.46145
435,63.4444
436,66.20025
437,66.6794
438,61.71465
439,67.13455
440,66.0391
441,62.75825
442,66.83315
443,66.9373
444,64.03065
445,65.5252
446,65.72525
447,66.1773
448,63.82815
449,66.67355
450,64.33135
