time_slot,sound_data(dB),
1,70.70333,morning
2,72.347797,
3,73.295855,
4,68.220805,
5,68.503677,
6,75.004603,
7,74.514827,
8,72.323657,
9,69.75557,
10,69.841595,
11,69.71384,
12,71.29604,
13,70.2997,
14,67.409925,
15,69.475487,
16,68.51294,
17,65.908515,
18,67.24117,
19,70.605412,
20,66.917925,
21,68.00669,
22,69.17913,
23,71.267783,
24,68.181542,
25,69.497697,
26,68.293278,
27,66.553702,
28,67.45325,
29,68.633162,
30,70.751135,
31,70.093968,
32,70.474525,
33,72.16926,
34,72.874067,
35,71.453258,
36,72.30745,
37,71.47221,
38,70.42988,
39,72.40809,
40,70.923975,
41,69.497248,
42,71.98335,
43,73.589045,
44,73.15813,
45,70.74817,
46,71.111942,
47,70.862853,
48,71.367595,
49,69.169728,
50,69.640903,
51,70.90731,
52,73.64028,
53,72.876497,
54,69.939005,
55,67.811318,
56,68.684095,
57,70.573657,
58,69.95641,
59,71.213642,
60,68.71233,
61,67.480517,
62,68.767027,
63,70.112328,
64,69.021852,
65,70.07024,
66,73.950915,
67,72.329315,
68,70.627682,
69,71.484082,
70,69.925835,
71,70.43492,
72,69.85526,
73,70.459482,
74,70.102502,
75,69.504462,
76,69.145608,
77,69.827192,
78,68.84368,
79,66.895345,
80,65.689065,
81,65.598637,
82,65.731637,
83,69.453148,
84,68.8141,
85,68.6487,
86,66.824458,
87,69.814583,
88,72.476253,
89,71.65929,
90,68.921567,
91,68.620645,
92,67.9317,
93,72.035658,
94,69.942228,
95,70.710093,
96,70.782778,
97,69.83372,
98,69.558283,
99,66.52778,
100,66.34237,
101,68.130943,
102,68.120395,
103,70.683975,
104,68.26885,
105,65.825463,
106,69.25577,
107,67.605717,
108,69.914473,
109,68.913205,
110,68.990368,
111,67.56108,
112,65.809425,
113,67.861097,
114,67.41857,
115,70.13544,
116,69.184337,
117,67.003833,
118,68.436882,
119,68.943848,
120,70.203855,
121,67.249555,
122,66.349208,
123,67.740445,
124,68.201318,
125,67.323103,
126,67.858148,
127,67.825455,
128,69.43983,
129,69.153383,
130,68.80112,
131,68.005648,
132,70.380298,
133,69.564167,
134,69.439568,
135,68.276138,
136,72.727397,
137,70.89577,
138,70.298822,
139,72.665468,
140,70.586473,
141,69.685875,
142,70.002373,
143,69.326022,
144,69.305035,
145,69.166682,
146,69.571835,
147,70.713702,
148,71.180437,
149,70.91852,
150,69.439843,
151,72.219535,afternoon
152,73.633255,
153,70.462963,
154,68.845925,
155,71.828302,
156,72.396502,
157,70.571647,
158,71.208845,
159,69.877342,
160,68.580298,
161,68.221815,
162,66.94163,
163,67.713957,
164,67.244155,
165,69.321355,
166,71.20678,
167,69.004332,
168,68.469403,
169,70.335815,
170,69.698032,
171,69.791535,
172,69.541953,
173,70.248513,
174,69.884932,
175,71.344225,
176,70.096862,
177,70.530465,
178,70.100783,
179,67.928022,
180,68.47423,
181,69.416987,
182,70.120278,
183,71.658685,
184,71.047417,
185,69.901835,
186,69.93371,
187,71.384855,
188,69.911322,
189,69.213797,
190,69.264615,
191,69.148767,
192,69.099215,
193,70.69588,
194,69.982825,
195,70.462282,
196,72.40889,
197,69.97467,
198,72.966363,
199,69.173528,
200,68.11859,
201,69.909807,
202,70.633482,
203,68.628565,
204,69.145745,
205,69.365535,
206,69.120837,
207,68.717178,
208,68.352913,
209,69.949453,
210,70.394537,
211,71.25581,
212,69.827098,
213,69.927445,
214,68.380587,
215,67.61825,
216,73.953212,
217,73.068463,
218,70.80477,
219,71.663465,
220,71.016323,
221,71.136003,
222,73.15314,
223,67.41305,
224,68.19614,
225,70.337805,
226,69.066165,
227,69.749723,
228,70.740167,
229,70.989055,
230,70.820777,
231,70.460835,
232,70.48384,
233,71.27989,
234,70.877823,
235,70.53152,
236,69.990915,
237,69.8435,
238,70.49833,
239,70.563078,
240,70.511005,
241,70.289383,
242,68.207598,
243,69.684272,
244,67.833533,
245,68.411698,
246,69.472617,
247,68.73328,
248,68.49534,
249,68.223627,
250,68.459657,
251,69.683688,
252,71.184882,
253,71.90778,
254,71.044647,
255,68.699393,
256,73.910128,
257,70.822205,
258,70.309337,
259,68.533933,
260,66.463895,
261,67.047822,
262,66.396362,
263,68.54828,
264,70.372298,
265,69.53954,
266,68.016095,
267,66.819975,
268,67.728335,
269,67.4159,
270,71.349272,
271,71.041142,
272,70.888713,
273,72.0258,
274,69.508803,
275,70.01358,
276,70.448178,
277,71.04969,
278,69.029355,
279,69.221785,
280,70.0504,
281,71.348695,
282,71.430168,
283,71.315442,
284,70.476457,
285,71.107253,
286,73.23942,
287,71.731932,
288,72.695188,
289,73.686505,
290,72.110595,
291,71.411057,
292,71.465538,
293,70.005335,
294,70.730565,
295,71.632148,
296,69.79734,
297,70.38369,
298,68.99667,
299,70.96201,
300,70.138253,
301,71.672715,evening
302,72.373198,
303,70.488912,
304,65.51616,
305,68.980025,
306,71.826947,
307,72.726187,
308,71.759535,
309,67.312607,
310,66.47606,
311,64.166128,
312,64.976322,
313,66.6269,
314,66.539095,
315,68.892972,
316,71.180545,
317,67.747438,
318,68.189845,
319,69.785472,
320,66.971757,
321,66.036465,
322,66.787082,
323,68.06786,
324,64.131138,
325,66.834915,
326,65.244972,
327,62.108252,
328,65.81864,
329,66.49176,
330,68.383745,
331,68.875737,
332,67.060303,
333,68.71586,
334,70.982585,
335,71.232857,
336,72.530857,
337,70.709727,
338,71.215872,
339,68.249022,
340,66.956475,
341,68.250465,
342,69.134545,
343,72.566547,
344,68.783353,
345,68.29765,
346,69.680467,
347,65.878045,
348,73.608047,
349,69.535998,
350,68.50478,
351,67.75212,
352,66.256307,
353,65.322443,
354,65.65371,
355,63.027715,
356,63.382435,
357,64.181597,
358,62.108802,
359,64.923952,
360,66.545372,
361,67.696173,
362,68.899293,
363,69.72378,
364,66.652843,
365,64.696305,
366,73.399107,
367,69.118252,
368,64.890058,
369,67.055515,
370,65.920343,
371,67.31664,
372,70.61214,
373,67.474545,
374,69.535687,
375,69.94541,
376,66.500628,
377,65.316387,
378,67.58448,
379,68.53079,
380,69.317915,
381,68.384128,
382,69.544427,
383,68.680778,
384,69.822575,
385,69.666487,
386,67.344498,
387,66.933455,
388,66.837658,
389,69.86099,
390,71.084545,
391,68.667447,
392,67.803135,
393,73.202095,
394,68.36693,
395,67.364643,
396,70.4056,
397,69.742865,
398,66.942105,
399,65.54187,
400,66.009928,
401,67.38203,
402,69.039433,
403,75.111185,
404,73.375035,
405,69.914608,
406,72.318475,
407,68.788775,
408,69.938845,
409,67.778325,
410,67.810497,
411,68.93465,
412,66.024637,
413,67.030732,
414,69.926175,
415,69.819293,
416,67.645275,
417,64.855412,
418,65.713153,
419,67.654248,
420,70.380083,
421,68.49052,
422,70.02259,
423,73.139765,
424,72.283578,
425,73.413557,
426,72.552048,
427,71.299077,
428,71.420198,
429,71.29219,
430,72.330597,
431,72.03388,
432,72.547745,
433,71.956373,
434,70.71192,
435,70.771253,
436,74.79227,
437,74.126932,
438,73.872713,
439,76.846117,
440,74.4827,
441,72.948512,
442,74.118763,
443,70.70072,
444,74.084572,
445,72.770863,
446,70.074292,
447,70.069717,
448,68.974095,
449,70.942815,
450,69.35397,
