time_slot,sound_data(dB),
1,65.179455,morning
2,64.296625,
3,65.93325,
4,65.674095,
5,67.74746,
6,66.837202,
7,66.3903,
8,64.88298,
9,65.099452,
10,65.13745,
11,65.582403,
12,64.594655,
13,62.333445,
14,61.846047,
15,60.021093,
16,61.999098,
17,63.486947,
18,63.354097,
19,65.802648,
20,66.363798,
21,65.560603,
22,65.54948,
23,67.88929,
24,68.44622,
25,64.471643,
26,62.555475,
27,61.57358,
28,62.707483,
29,66.64375,
30,67.51182,
31,71.081195,
32,71.263288,
33,65.89734,
34,62.790315,
35,62.276393,
36,61.311492,
37,61.420653,
38,62.17821,
39,63.454095,
40,65.541228,
41,68.780828,
42,68.403648,
43,64.270687,
44,64.346342,
45,63.047678,
46,65.971045,
47,63.494475,
48,59.58352,
49,60.941335,
50,63.001458,
51,64.276297,
52,61.802567,
53,61.387493,
54,61.261372,
55,60.101815,
56,61.663438,
57,62.007318,
58,63.648398,
59,65.199762,
60,66.407903,
61,66.172548,
62,62.126027,
63,63.488247,
64,63.103597,
65,65.033132,
66,68.14067,
67,69.331873,
68,70.580633,
69,66.612392,
70,67.067495,
71,65.073962,
72,62.238237,
73,63.558145,
74,65.199425,
75,61.968482,
76,63.259933,
77,64.165558,
78,65.334103,
79,65.289797,
80,62.48081,
81,61.702322,
82,60.832235,
83,59.85582,
84,59.078595,
85,59.33606,
86,61.131445,
87,64.23782,
88,63.177627,
89,60.133485,
90,63.510895,
91,66.72464,
92,64.650415,
93,64.396495,
94,62.086208,
95,63.206795,
96,60.801783,
97,64.710445,
98,64.66476,
99,66.642147,
100,64.543405,
101,62.742907,
102,64.791795,
103,65.095295,
104,67.36972,
105,69.367963,
106,71.198932,
107,72.10365,
108,71.23967,
109,72.051542,
110,69.8664,
111,69.80195,
112,65.562843,
113,63.337193,
114,62.087945,
115,61.293248,
116,60.903405,
117,59.940095,
118,60.14871,
119,61.404705,
120,63.420762,
121,64.751882,
122,64.838628,
123,61.424242,
124,64.244085,
125,65.59368,
126,64.254185,
127,66.557253,
128,68.440448,
129,68.231752,
130,69.133095,
131,66.48028,
132,67.287545,
133,66.076943,
134,67.425075,
135,66.991853,
136,61.54506,
137,61.169015,
138,60.937195,
139,63.88679,
140,67.16283,
141,68.257108,
142,66.608107,
143,65.2206,
144,63.627955,
145,62.763517,
146,66.196137,
147,66.020068,
148,62.94481,
149,61.001147,
150,61.702982,
151,64.991264,afternoon
152,68.128219,
153,69.434151,
154,71.200834,
155,72.355946,
156,72.518773,
157,72.21106,
158,69.222446,
159,68.683179,
160,67.031617,
161,67.259436,
162,65.836409,
163,66.464712,
164,67.247457,
165,66.186293,
166,65.637408,
167,67.387718,
168,65.866782,
169,68.35614,
170,68.237862,
171,68.029382,
172,68.126814,
173,70.68163,
174,72.787235,
175,68.894161,
176,67.550164,
177,66.452303,
178,66.160212,
179,68.81423,
180,70.523416,
181,73.97811,
182,73.565608,
183,70.541787,
184,67.528691,
185,66.368518,
186,66.581694,
187,67.010772,
188,67.777767,
189,68.199393,
190,67.307375,
191,71.578997,
192,72.174702,
193,68.421,
194,69.640651,
195,69.120814,
196,72.256643,
197,70.654832,
198,66.61813,
199,67.100145,
200,66.562255,
201,66.37261,
202,66.144395,
203,66.762261,
204,67.731487,
205,66.392089,
206,67.327865,
207,68.905098,
208,68.71176,
209,70.619375,
210,69.184702,
211,71.720233,
212,67.375365,
213,68.208398,
214,66.351806,
215,69.152556,
216,70.303033,
217,73.306775,
218,73.596899,
219,70.970671,
220,68.94811,
221,67.272248,
222,67.636102,
223,69.251926,
224,70.963773,
225,68.261779,
226,67.390854,
227,68.255732,
228,69.660916,
229,69.987154,
230,66.364635,
231,65.720053,
232,65.38805,
233,66.630327,
234,66.448205,
235,65.016488,
236,67.111242,
237,71.177005,
238,69.537207,
239,67.20211,
240,68.662148,
241,69.380714,
242,68.247207,
243,68.516283,
244,67.064641,
245,68.008221,
246,68.450046,
247,71.534589,
248,72.46371,
249,71.216171,
250,69.626947,
251,68.835529,
252,69.981112,
253,70.244906,
254,71.026608,
255,73.467538,
256,72.936143,
257,72.004045,
258,70.362202,
259,72.029406,
260,69.201548,
261,68.860834,
262,69.18331,
263,68.249114,
264,67.996599,
265,69.143243,
266,67.437945,
267,66.749171,
268,65.857698,
269,68.144967,
270,68.729061,
271,70.703549,
272,69.320006,
273,66.567793,
274,68.983195,
275,69.378582,
276,69.10161,
277,69.065583,
278,69.934893,
279,69.844998,
280,69.946944,
281,70.203921,
282,71.368448,
283,70.492691,
284,72.254179,
285,70.655844,
286,66.863274,
287,65.748293,
288,65.318293,
289,66.050457,
290,70.508528,
291,69.701345,
292,67.805283,
293,67.405698,
294,67.943542,
295,68.560772,
296,72.052202,
297,71.911179,
298,67.6993,
299,68.158378,
300,69.127533,
301,69.28605,evening
302,69.754053,
303,71.733179,
304,70.548703,
305,69.940357,
306,70.056099,
307,68.938603,
308,67.423776,
309,65.789487,
310,67.353195,
311,68.228448,
312,69.534153,
313,66.829743,
314,66.336169,
315,64.917011,
316,64.972813,
317,66.289995,
318,67.858009,
319,50.90118,
320,67.608499,
321,67.848608,
322,67.25505,
323,69.258323,
324,69.252169,
325,66.522835,
326,67.203498,
327,66.973698,
328,67.076417,
329,67.528917,
330,67.59744,
331,70.013455,
332,71.93002,
333,69.217663,
334,66.628546,
335,67.20368,
336,68.1502,
337,68.985713,
338,68.892008,
339,69.253081,
340,66.838885,
341,67.75325,
342,69.057141,
343,67.576292,
344,67.326116,
345,70.048592,
346,68.684373,
347,68.096236,
348,65.013858,
349,65.668605,
350,66.477505,
351,65.061722,
352,65.54907,
353,65.812786,
354,67.552812,
355,67.479223,
356,68.197302,
357,69.451202,
358,68.833452,
359,68.373917,
360,69.209672,
361,69.617939,
362,66.326801,
363,66.508507,
364,66.502081,
365,66.180171,
366,68.694997,
367,69.661698,
368,68.818128,
369,67.276571,
370,65.418457,
371,64.43538,
372,64.39998,
373,66.059522,
374,67.830531,
375,65.222508,
376,65.513095,
377,67.219785,
378,68.051574,
379,67.668051,
380,66.16494,
381,65.863179,
382,66.065697,
383,65.882813,
384,64.793721,
385,65.483055,
386,64.697102,
387,65.365265,
388,64.350772,
389,64.557091,
390,65.472565,
391,67.535529,
392,65.287599,
393,63.984006,
394,64.204139,
395,65.453045,
396,65.154957,
397,68.6461,
398,69.695173,
399,69.422091,
400,67.470254,
401,67.03135,
402,67.576169,
403,68.799293,
404,69.872916,
405,68.244804,
406,70.006348,
407,68.985979,
408,67.438774,
409,67.906558,
410,68.012073,
411,67.245788,
412,65.23555,
413,64.539059,
414,63.8974,
415,64.489938,
416,63.255897,
417,65.104742,
418,64.78746,
419,64.832757,
420,67.744029,
421,67.795853,
422,67.943271,
423,66.588263,
424,69.600448,
425,70.020058,
426,70.853201,
427,71.252937,
428,70.391345,
429,70.06057,
430,68.918068,
431,67.457387,
432,67.03127,
433,65.098922,
434,67.576361,
435,66.96205,
436,64.856102,
437,66.959564,
438,67.391284,
439,69.421238,
440,68.352284,
441,67.497712,
442,63.675855,
443,63.774173,
444,63.926109,
445,66.108354,
446,68.815627,
447,68.513142,
448,68.871325,
449,68.82766,
450,66.073733,
