time_slot,morning,evening,afternoon
1,70.70333,71.672715,72.219535
2,72.347797,72.373198,73.633255
3,73.295855,70.488912,70.462963
4,68.220805,65.51616,68.845925
5,68.503677,68.980025,71.828302
6,75.004603,71.826947,72.396502
7,74.514827,72.726187,70.571647
8,72.323657,71.759535,71.208845
9,69.75557,67.312607,69.877342
10,69.841595,66.47606,68.580298
11,69.71384,64.166128,68.221815
12,71.29604,64.976322,66.94163
13,70.2997,66.6269,67.713957
14,67.409925,66.539095,67.244155
15,69.475487,68.892972,69.321355
16,68.51294,71.180545,71.20678
17,65.908515,67.747438,69.004332
18,67.24117,68.189845,68.469403
19,70.605412,69.785472,70.335815
20,66.917925,66.971757,69.698032
21,68.00669,66.036465,69.791535
22,69.17913,66.787082,69.541953
23,71.267783,68.06786,70.248513
24,68.181542,64.131138,69.884932
25,69.497697,66.834915,71.344225
26,68.293278,65.244972,70.096862
27,66.553702,62.108252,70.530465
28,67.45325,65.81864,70.100783
29,68.633162,66.49176,67.928022
30,70.751135,68.383745,68.47423
31,70.093968,68.875737,69.416987
32,70.474525,67.060303,70.120278
33,72.16926,68.71586,71.658685
34,72.874067,70.982585,71.047417
35,71.453258,71.232857,69.901835
36,72.30745,72.530857,69.93371
37,71.47221,70.709727,71.384855
38,70.42988,71.215872,69.911322
39,72.40809,68.249022,69.213797
40,70.923975,66.956475,69.264615
41,69.497248,68.250465,69.148767
42,71.98335,69.134545,69.099215
43,73.589045,72.566547,70.69588
44,73.15813,68.783353,69.982825
45,70.74817,68.29765,70.462282
46,71.111942,69.680467,72.40889
47,70.862853,65.878045,69.97467
48,71.367595,73.608047,72.966363
49,69.169728,69.535998,69.173528
50,69.640903,68.50478,68.11859
51,70.90731,67.75212,69.909807
52,73.64028,66.256307,70.633482
53,72.876497,65.322443,68.628565
54,69.939005,65.65371,69.145745
55,67.811318,63.027715,69.365535
56,68.684095,63.382435,69.120837
57,70.573657,64.181597,68.717178
58,69.95641,62.108802,68.352913
59,71.213642,64.923952,69.949453
60,68.71233,66.545372,70.394537
61,67.480517,67.696173,71.25581
62,68.767027,68.899293,69.827098
63,70.112328,69.72378,69.927445
64,69.021852,66.652843,68.380587
65,70.07024,64.696305,67.61825
66,73.950915,73.399107,73.953212
67,72.329315,69.118252,73.068463
68,70.627682,64.890058,70.80477
69,71.484082,67.055515,71.663465
70,69.925835,65.920343,71.016323
71,70.43492,67.31664,71.136003
72,69.85526,70.61214,73.15314
73,70.459482,67.474545,67.41305
74,70.102502,69.535687,68.19614
75,69.504462,69.94541,70.337805
76,69.145608,66.500628,69.066165
77,69.827192,65.316387,69.749723
78,68.84368,67.58448,70.740167
79,66.895345,68.53079,70.989055
80,65.689065,69.317915,70.820777
81,65.598637,68.384128,70.460835
82,65.731637,69.544427,70.48384
83,69.453148,68.680778,71.27989
84,68.8141,69.822575,70.877823
85,68.6487,69.666487,70.53152
86,66.824458,67.344498,69.990915
87,69.814583,66.933455,69.8435
88,72.476253,66.837658,70.49833
89,71.65929,69.86099,70.563078
90,68.921567,71.084545,70.511005
91,68.620645,68.667447,70.289383
92,67.9317,67.803135,68.207598
93,72.035658,73.202095,69.684272
94,69.942228,68.36693,67.833533
95,70.710093,67.364643,68.411698
96,70.782778,70.4056,69.472617
97,69.83372,69.742865,68.73328
98,69.558283,66.942105,68.49534
99,66.52778,65.54187,68.223627
100,66.34237,66.009928,68.459657
101,68.130943,67.38203,69.683688
102,68.120395,69.039433,71.184882
103,70.683975,75.111185,71.90778
104,68.26885,73.375035,71.044647
105,65.825463,69.914608,68.699393
106,69.25577,72.318475,73.910128
107,67.605717,68.788775,70.822205
108,69.914473,69.938845,70.309337
109,68.913205,67.778325,68.533933
110,68.990368,67.810497,66.463895
111,67.56108,68.93465,67.047822
112,65.809425,66.024637,66.396362
113,67.861097,67.030732,68.54828
114,67.41857,69.926175,70.372298
115,70.13544,69.819293,69.53954
116,69.184337,67.645275,68.016095
117,67.003833,64.855412,66.819975
118,68.436882,65.713153,67.728335
119,68.943848,67.654248,67.4159
120,70.203855,70.380083,71.349272
121,67.249555,68.49052,71.041142
122,66.349208,70.02259,70.888713
123,67.740445,73.139765,72.0258
124,68.201318,72.283578,69.508803
125,67.323103,73.413557,70.01358
126,67.858148,72.552048,70.448178
127,67.825455,71.299077,71.04969
128,69.43983,71.420198,69.029355
129,69.153383,71.29219,69.221785
130,68.80112,72.330597,70.0504
131,68.005648,72.03388,71.348695
132,70.380298,72.547745,71.430168
133,69.564167,71.956373,71.315442
134,69.439568,70.71192,70.476457
135,68.276138,70.771253,71.107253
136,72.727397,74.79227,73.23942
137,70.89577,74.126932,71.731932
138,70.298822,73.872713,72.695188
139,72.665468,76.846117,73.686505
140,70.586473,74.4827,72.110595
141,69.685875,72.948512,71.411057
142,70.002373,74.118763,71.465538
143,69.326022,70.70072,70.005335
144,69.305035,74.084572,70.730565
145,69.166682,72.770863,71.632148
146,69.571835,70.074292,69.79734
147,70.713702,70.069717,70.38369
148,71.180437,68.974095,68.99667
149,70.91852,70.942815,70.96201
150,69.439843,69.35397,70.138253
