time_slot,averaged_gain
1,72.219535
2,73.633255
3,70.462963
4,68.845925
5,71.828302
6,72.396502
7,70.571647
8,71.208845
9,69.877342
10,68.580298
11,68.221815
12,66.941630
13,67.713957
14,67.244155
15,69.321355
16,71.206780
17,69.004332
18,68.469403
19,70.335815
20,69.698032
21,69.791535
22,69.541953
23,70.248513
24,69.884932
25,71.344225
26,70.096862
27,70.530465
28,70.100783
29,67.928022
30,68.474230
31,69.416987
32,70.120278
33,71.658685
34,71.047417
35,69.901835
36,69.933710
37,71.384855
38,69.911322
39,69.213797
40,69.264615
41,69.148767
42,69.099215
43,70.695880
44,69.982825
45,70.462282
46,72.408890
47,69.974670
48,72.966363
49,69.173528
50,68.118590
51,69.909807
52,70.633482
53,68.628565
54,69.145745
55,69.365535
56,69.120837
57,68.717178
58,68.352913
59,69.949453
60,70.394537
61,71.255810
62,69.827098
63,69.927445
64,68.380587
65,67.618250
66,73.953212
67,73.068463
68,70.804770
69,71.663465
70,71.016323
71,71.136003
72,73.153140
73,67.413050
74,68.196140
75,70.337805
76,69.066165
77,69.749723
78,70.740167
79,70.989055
80,70.820777
81,70.460835
82,70.483840
83,71.279890
84,70.877823
85,70.531520
86,69.990915
87,69.843500
88,70.498330
89,70.563078
90,70.511005
91,70.289383
92,68.207598
93,69.684272
94,67.833533
95,68.411698
96,69.472617
97,68.733280
98,68.495340
99,68.223627
100,68.459657
101,69.683688
102,71.184882
103,71.907780
104,71.044647
105,68.699393
106,73.910128
107,70.822205
108,70.309337
109,68.533933
110,66.463895
111,67.047822
112,66.396362
113,68.548280
114,70.372298
115,69.539540
116,68.016095
117,66.819975
118,67.728335
119,67.415900
120,71.349272
121,71.041142
122,70.888713
123,72.025800
124,69.508803
125,70.013580
126,70.448178
127,71.049690
128,69.029355
129,69.221785
130,70.050400
131,71.348695
132,71.430168
133,71.315442
134,70.476457
135,71.107253
136,73.239420
137,71.731932
138,72.695188
139,73.686505
140,72.110595
141,71.411057
142,71.465538
143,70.005335
144,70.730565
145,71.632148
146,69.797340
147,70.383690
148,68.996670
149,70.962010
150,70.138253
