time_slot,averaged_gain
1,71.672715
2,72.373198
3,70.488912
4,65.516160
5,68.980025
6,71.826947
7,72.726187
8,71.759535
9,67.312607
10,66.476060
11,64.166128
12,64.976322
13,66.626900
14,66.539095
15,68.892972
16,71.180545
17,67.747438
18,68.189845
19,69.785472
20,66.971757
21,66.036465
22,66.787082
23,68.067860
24,64.131138
25,66.834915
26,65.244972
27,62.108252
28,65.818640
29,66.491760
30,68.383745
31,68.875737
32,67.060303
33,68.715860
34,70.982585
35,71.232857
36,72.530857
37,70.709727
38,71.215872
39,68.249022
40,66.956475
41,68.250465
42,69.134545
43,72.566547
44,68.783353
45,68.297650
46,69.680467
47,65.878045
48,73.608047
49,69.535998
50,68.504780
51,67.752120
52,66.256307
53,65.322443
54,65.653710
55,63.027715
56,63.382435
57,64.181597
58,62.108802
59,64.923952
60,66.545372
61,67.696173
62,68.899293
63,69.723780
64,66.652843
65,64.696305
66,73.399107
67,69.118252
68,64.890058
69,67.055515
70,65.920343
71,67.316640
72,70.612140
73,67.474545
74,69.535687
75,69.945410
76,66.500628
77,65.316387
78,67.584480
79,68.530790
80,69.317915
81,68.384128
82,69.544427
83,68.680778
84,69.822575
85,69.666487
86,67.344498
87,66.933455
88,66.837658
89,69.860990
90,71.084545
91,68.667447
92,67.803135
93,73.202095
94,68.366930
95,67.364643
96,70.405600
97,69.742865
98,66.942105
99,65.541870
100,66.009928
101,67.382030
102,69.039433
103,75.111185
104,73.375035
105,69.914608
106,72.318475
107,68.788775
108,69.938845
109,67.778325
110,67.810497
111,68.934650
112,66.024637
113,67.030732
114,69.926175
115,69.819293
116,67.645275
117,64.855412
118,65.713153
119,67.654248
120,70.380083
121,68.490520
122,70.022590
123,73.139765
124,72.283578
125,73.413557
126,72.552048
127,71.299077
128,71.420198
129,71.292190
130,72.330597
131,72.033880
132,72.547745
133,71.956373
134,70.711920
135,70.771253
136,74.792270
137,74.126932
138,73.872713
139,76.846117
140,74.482700
141,72.948512
142,74.118763
143,70.700720
144,74.084572
145,72.770863
146,70.074292
147,70.069717
148,68.974095
149,70.942815
150,69.353970
