time_slot,averaged_gain
1,70.703330
2,72.347797
3,73.295855
4,68.220805
5,68.503677
6,75.004603
7,74.514827
8,72.323657
9,69.755570
10,69.841595
11,69.713840
12,71.296040
13,70.299700
14,67.409925
15,69.475487
16,68.512940
17,65.908515
18,67.241170
19,70.605412
20,66.917925
21,68.006690
22,69.179130
23,71.267783
24,68.181542
25,69.497697
26,68.293278
27,66.553702
28,67.453250
29,68.633162
30,70.751135
31,70.093968
32,70.474525
33,72.169260
34,72.874067
35,71.453258
36,72.307450
37,71.472210
38,70.429880
39,72.408090
40,70.923975
41,69.497248
42,71.983350
43,73.589045
44,73.158130
45,70.748170
46,71.111942
47,70.862853
48,71.367595
49,69.169728
50,69.640903
51,70.907310
52,73.640280
53,72.876497
54,69.939005
55,67.811318
56,68.684095
57,70.573657
58,69.956410
59,71.213642
60,68.712330
61,67.480517
62,68.767027
63,70.112328
64,69.021852
65,70.070240
66,73.950915
67,72.329315
68,70.627682
69,71.484082
70,69.925835
71,70.434920
72,69.855260
73,70.459482
74,70.102502
75,69.504462
76,69.145608
77,69.827192
78,68.843680
79,66.895345
80,65.689065
81,65.598637
82,65.731637
83,69.453148
84,68.814100
85,68.648700
86,66.824458
87,69.814583
88,72.476253
89,71.659290
90,68.921567
91,68.620645
92,67.931700
93,72.035658
94,69.942228
95,70.710093
96,70.782778
97,69.833720
98,69.558283
99,66.527780
100,66.342370
101,68.130943
102,68.120395
103,70.683975
104,68.268850
105,65.825463
106,69.255770
107,67.605717
108,69.914473
109,68.913205
110,68.990368
111,67.561080
112,65.809425
113,67.861097
114,67.418570
115,70.135440
116,69.184337
117,67.003833
118,68.436882
119,68.943848
120,70.203855
121,67.249555
122,66.349208
123,67.740445
124,68.201318
125,67.323103
126,67.858148
127,67.825455
128,69.439830
129,69.153383
130,68.801120
131,68.005648
132,70.380298
133,69.564167
134,69.439568
135,68.276138
136,72.727397
137,70.895770
138,70.298822
139,72.665468
140,70.586473
141,69.685875
142,70.002373
143,69.326022
144,69.305035
145,69.166682
146,69.571835
147,70.713702
148,71.180437
149,70.918520
150,69.439843
