time_slot,averaged_gain
1,64.991264
2,68.128219
3,69.434151
4,71.200834
5,72.355946
6,72.518773
7,72.211060
8,69.222446
9,68.683179
10,67.031617
11,67.259436
12,65.836409
13,66.464712
14,67.247457
15,66.186293
16,65.637408
17,67.387718
18,65.866782
19,68.356140
20,68.237862
21,68.029382
22,68.126814
23,70.681630
24,72.787235
25,68.894161
26,67.550164
27,66.452303
28,66.160212
29,68.814230
30,70.523416
31,73.978110
32,73.565608
33,70.541787
34,67.528691
35,66.368518
36,66.581694
37,67.010772
38,67.777767
39,68.199393
40,67.307375
41,71.578997
42,72.174702
43,68.421000
44,69.640651
45,69.120814
46,72.256643
47,70.654832
48,66.618130
49,67.100145
50,66.562255
51,66.372610
52,66.144395
53,66.762261
54,67.731487
55,66.392089
56,67.327865
57,68.905098
58,68.711760
59,70.619375
60,69.184702
61,71.720233
62,67.375365
63,68.208398
64,66.351806
65,69.152556
66,70.303033
67,73.306775
68,73.596899
69,70.970671
70,68.948110
71,67.272248
72,67.636102
73,69.251926
74,70.963773
75,68.261779
76,67.390854
77,68.255732
78,69.660916
79,69.987154
80,66.364635
81,65.720053
82,65.388050
83,66.630327
84,66.448205
85,65.016488
86,67.111242
87,71.177005
88,69.537207
89,67.202110
90,68.662148
91,69.380714
92,68.247207
93,68.516283
94,67.064641
95,68.008221
96,68.450046
97,71.534589
98,72.463710
99,71.216171
100,69.626947
101,68.835529
102,69.981112
103,70.244906
104,71.026608
105,73.467538
106,72.936143
107,72.004045
108,70.362202
109,72.029406
110,69.201548
111,68.860834
112,69.183310
113,68.249114
114,67.996599
115,69.143243
116,67.437945
117,66.749171
118,65.857698
119,68.144967
120,68.729061
121,70.703549
122,69.320006
123,66.567793
124,68.983195
125,69.378582
126,69.101610
127,69.065583
128,69.934893
129,69.844998
130,69.946944
131,70.203921
132,71.368448
133,70.492691
134,72.254179
135,70.655844
136,66.863274
137,65.748293
138,65.318293
139,66.050457
140,70.508528
141,69.701345
142,67.805283
143,67.405698
144,67.943542
145,68.560772
146,72.052202
147,71.911179
148,67.699300
149,68.158378
150,69.127533
