time_slot,averaged_gain
1,69.286050
2,69.754053
3,71.733179
4,70.548703
5,69.940357
6,70.056099
7,68.938603
8,67.423776
9,65.789487
10,67.353195
11,68.228448
12,69.534153
13,66.829743
14,66.336169
15,64.917011
16,64.972813
17,66.289995
18,67.858009
19,50.901180
20,67.608499
21,67.848608
22,67.255050
23,69.258323
24,69.252169
25,66.522835
26,67.203498
27,66.973698
28,67.076417
29,67.528917
30,67.597440
31,70.013455
32,71.930020
33,69.217663
34,66.628546
35,67.203680
36,68.150200
37,68.985713
38,68.892008
39,69.253081
40,66.838885
41,67.753250
42,69.057141
43,67.576292
44,67.326116
45,70.048592
46,68.684373
47,68.096236
48,65.013858
49,65.668605
50,66.477505
51,65.061722
52,65.549070
53,65.812786
54,67.552812
55,67.479223
56,68.197302
57,69.451202
58,68.833452
59,68.373917
60,69.209672
61,69.617939
62,66.326801
63,66.508507
64,66.502081
65,66.180171
66,68.694997
67,69.661698
68,68.818128
69,67.276571
70,65.418457
71,64.435380
72,64.399980
73,66.059522
74,67.830531
75,65.222508
76,65.513095
77,67.219785
78,68.051574
79,67.668051
80,66.164940
81,65.863179
82,66.065697
83,65.882813
84,64.793721
85,65.483055
86,64.697102
87,65.365265
88,64.350772
89,64.557091
90,65.472565
91,67.535529
92,65.287599
93,63.984006
94,64.204139
95,65.453045
96,65.154957
97,68.646100
98,69.695173
99,69.422091
100,67.470254
101,67.031350
102,67.576169
103,68.799293
104,69.872916
105,68.244804
106,70.006348
107,68.985979
108,67.438774
109,67.906558
110,68.012073
111,67.245788
112,65.235550
113,64.539059
114,63.897400
115,64.489938
116,63.255897
117,65.104742
118,64.787460
119,64.832757
120,67.744029
121,67.795853
122,67.943271
123,66.588263
124,69.600448
125,70.020058
126,70.853201
127,71.252937
128,70.391345
129,70.060570
130,68.918068
131,67.457387
132,67.031270
133,65.098922
134,67.576361
135,66.962050
136,64.856102
137,66.959564
138,67.391284
139,69.421238
140,68.352284
141,67.497712
142,63.675855
143,63.774173
144,63.926109
145,66.108354
146,68.815627
147,68.513142
148,68.871325
149,68.827660
150,66.073733
