time_slot,averaged_gain
1,65.179455
2,64.296625
3,65.933250
4,65.674095
5,67.747460
6,66.837202
7,66.390300
8,64.882980
9,65.099452
10,65.137450
11,65.582403
12,64.594655
13,62.333445
14,61.846047
15,60.021093
16,61.999098
17,63.486947
18,63.354097
19,65.802648
20,66.363798
21,65.560603
22,65.549480
23,67.889290
24,68.446220
25,64.471643
26,62.555475
27,61.573580
28,62.707483
29,66.643750
30,67.511820
31,71.081195
32,71.263288
33,65.897340
34,62.790315
35,62.276393
36,61.311492
37,61.420653
38,62.178210
39,63.454095
40,65.541228
41,68.780828
42,68.403648
43,64.270687
44,64.346342
45,63.047678
46,65.971045
47,63.494475
48,59.583520
49,60.941335
50,63.001458
51,64.276297
52,61.802567
53,61.387493
54,61.261372
55,60.101815
56,61.663438
57,62.007318
58,63.648398
59,65.199762
60,66.407903
61,66.172548
62,62.126027
63,63.488247
64,63.103597
65,65.033132
66,68.140670
67,69.331873
68,70.580633
69,66.612392
70,67.067495
71,65.073962
72,62.238237
73,63.558145
74,65.199425
75,61.968482
76,63.259933
77,64.165558
78,65.334103
79,65.289797
80,62.480810
81,61.702322
82,60.832235
83,59.855820
84,59.078595
85,59.336060
86,61.131445
87,64.237820
88,63.177627
89,60.133485
90,63.510895
91,66.724640
92,64.650415
93,64.396495
94,62.086208
95,63.206795
96,60.801783
97,64.710445
98,64.664760
99,66.642147
100,64.543405
101,62.742907
102,64.791795
103,65.095295
104,67.369720
105,69.367963
106,71.198932
107,72.103650
108,71.239670
109,72.051542
110,69.866400
111,69.801950
112,65.562843
113,63.337193
114,62.087945
115,61.293248
116,60.903405
117,59.940095
118,60.148710
119,61.404705
120,63.420762
121,64.751882
122,64.838628
123,61.424242
124,64.244085
125,65.593680
126,64.254185
127,66.557253
128,68.440448
129,68.231752
130,69.133095
131,66.480280
132,67.287545
133,66.076943
134,67.425075
135,66.991853
136,61.545060
137,61.169015
138,60.937195
139,63.886790
140,67.162830
141,68.257108
142,66.608107
143,65.220600
144,63.627955
145,62.763517
146,66.196137
147,66.020068
148,62.944810
149,61.001147
150,61.702982
