time_slot,averaged_gain
1,69.627238
2,67.738822
3,68.018261
4,67.499413
5,65.046171
6,66.070619
7,65.922247
8,67.936426
9,65.559949
10,67.842375
11,68.100407
12,67.174345
13,68.659660
14,66.194813
15,67.538383
16,67.032283
17,69.095898
18,68.078258
19,67.656527
20,68.673293
21,69.164525
22,70.904848
23,71.720661
24,71.369865
25,72.409773
26,70.849494
27,69.769998
28,71.029237
29,72.493423
30,71.425684
31,71.073620
32,70.201045
33,70.215811
34,71.920802
35,71.308971
36,70.693538
37,72.310219
38,72.261045
39,70.947740
40,72.694712
41,70.162079
42,69.554744
43,69.584115
44,68.839862
45,66.394648
46,65.153480
47,66.677444
48,68.913647
49,69.282293
50,71.756682
51,72.176707
52,71.453373
53,70.657814
54,69.335041
55,66.971977
56,64.534724
57,65.766408
58,64.891032
59,66.473244
60,67.763122
61,69.917151
62,70.159814
63,70.792033
64,68.989097
65,68.421492
66,68.440496
67,68.290135
68,70.847112
69,70.852454
70,73.575668
71,71.176050
72,70.886089
73,71.420834
74,69.938462
75,71.639362
76,72.304995
77,72.625862
78,69.278271
79,68.747240
80,67.918599
81,68.460775
82,65.722190
83,70.691962
84,69.717724
85,68.300395
86,67.059000
87,68.849454
88,70.858495
89,70.183992
90,74.284852
91,76.317450
92,73.132987
93,70.956679
94,69.743549
95,71.767643
96,72.765880
97,72.082944
98,70.808087
99,71.729191
100,73.356834
101,74.276845
102,73.492536
103,72.883638
104,71.572250
105,70.796577
106,72.921193
107,73.339712
108,72.234658
109,73.576429
110,73.556945
111,74.293077
112,70.117449
113,70.202712
114,69.258050
115,68.777482
116,67.612640
117,68.623926
118,66.990895
119,67.433457
120,68.799028
121,72.449398
122,73.384811
123,69.703191
124,69.611845
125,69.246299
126,67.698536
127,70.183556
128,70.175362
129,71.338700
130,72.698556
131,72.244668
132,71.925395
133,69.784135
134,69.434061
135,68.720439
136,69.396549
137,71.395546
138,69.029146
139,68.197962
140,71.062719
141,70.130908
142,71.879842
143,70.936892
144,70.125895
145,68.440008
146,69.520705
147,68.788543
148,68.415717
149,67.585845
150,68.620937
