time_slot,averaged_gain
1,66.586548
2,63.180490
3,61.415402
4,61.936530
5,63.295983
6,64.250957
7,63.186470
8,64.083542
9,64.744443
10,65.903155
11,66.259995
12,66.518995
13,63.507375
14,64.724203
15,64.110630
16,64.345053
17,65.014495
18,63.192497
19,63.834992
20,64.491498
21,63.732995
22,65.705995
23,66.069493
24,66.254993
25,65.906493
26,67.234493
27,65.657500
28,63.525998
29,63.780995
30,61.858497
31,61.878495
32,61.449998
33,63.151992
34,63.994495
35,64.599495
36,67.042997
37,65.052998
38,64.691995
39,64.949497
40,64.347490
41,63.072495
42,64.622495
43,64.711997
44,64.181497
45,65.700997
46,65.786495
47,65.275495
48,68.757497
49,68.481498
50,66.616493
51,64.777990
52,65.355495
53,64.826498
54,65.911495
55,63.057495
56,64.534000
57,63.100495
58,64.926497
59,65.340000
60,64.958500
61,66.237995
62,65.089493
63,64.509490
64,62.929497
65,63.281495
66,61.601490
67,63.210992
68,64.606495
69,65.805498
70,66.694495
71,68.266997
72,70.853500
73,72.028498
74,70.819995
75,69.017495
76,65.114990
77,65.468995
78,65.738493
79,64.019495
80,63.493495
81,62.769495
82,64.028495
83,65.005995
84,65.475493
85,65.927492
86,66.692500
87,67.286497
88,66.574995
89,67.197992
90,70.193490
91,70.932990
92,68.620493
93,67.112493
94,65.064498
95,64.573493
96,66.812495
97,67.897998
98,65.409993
99,63.338000
100,62.409992
101,63.832998
102,64.410495
103,64.588998
104,68.390495
105,66.380995
106,67.051990
107,66.188000
108,66.521997
109,65.509493
110,64.235995
111,62.310997
112,62.915993
113,63.301992
114,63.138998
115,63.895495
116,64.732493
117,63.264493
118,65.467495
119,66.471495
120,65.144998
121,62.669995
122,62.431992
123,62.427995
124,62.257497
125,64.039995
126,63.195495
127,63.344497
128,61.620995
129,61.968995
130,62.408497
131,61.889498
132,62.898493
133,61.841493
134,59.720492
135,59.426995
136,61.664993
137,61.289500
138,60.583498
139,61.043993
140,60.529995
141,63.674495
142,61.972000
143,61.752495
144,63.865495
145,63.075995
146,60.864498
147,60.910495
148,60.956992
149,58.816993
150,58.948995
