time_slot,averaged_gain
1,63.288800
2,62.226882
3,58.855516
4,63.740446
5,62.653538
6,63.723986
7,64.372090
8,64.680428
9,60.347502
10,61.262762
11,60.717012
12,60.473975
13,58.231250
14,57.532373
15,60.212297
16,62.664185
17,61.516965
18,59.120669
19,58.911412
20,61.530670
21,59.378505
22,58.731927
23,59.643538
24,58.134248
25,58.466547
26,59.524411
27,61.522080
28,61.680749
29,62.141527
30,63.252171
31,59.717883
32,60.413738
33,58.970618
34,59.809413
35,60.641379
36,60.723446
37,62.316392
38,62.246870
39,63.629957
40,63.900213
41,62.831719
42,62.427118
43,61.377400
44,60.856352
45,63.238111
46,62.314741
47,61.554795
48,58.959727
49,57.549132
50,57.952328
51,57.697822
52,57.953569
53,57.164436
54,58.402934
55,62.316384
56,61.805990
57,60.519968
58,60.643345
59,63.133335
60,65.180354
61,63.292964
62,61.130864
63,61.815775
64,62.450699
65,62.249374
66,61.604325
67,61.250010
68,61.164354
69,62.544984
70,61.981975
71,61.014665
72,61.249864
73,60.795813
74,60.784208
75,59.807089
76,59.001945
77,59.571036
78,63.010781
79,63.177914
80,63.212353
81,64.668042
82,61.315197
83,59.457456
84,58.029272
85,60.075037
86,62.250846
87,62.435894
88,63.537894
89,62.455488
90,60.164792
91,59.192835
92,60.060424
93,58.571241
94,61.727192
95,61.163995
96,62.090293
97,60.707500
98,61.512937
99,59.995506
100,60.843630
101,58.826300
102,59.805739
103,63.459057
104,63.882937
105,62.503223
106,61.518183
107,62.148338
108,62.910907
109,62.288683
110,63.980068
111,63.879407
112,65.098988
113,63.841681
114,60.385735
115,60.191769
116,59.675801
117,61.896663
118,62.994995
119,65.212456
120,65.358949
121,64.599405
122,61.823936
123,59.428334
124,59.412695
125,59.800536
126,62.633701
127,60.989200
128,59.573346
129,59.763908
130,60.471787
131,62.002976
132,59.646767
133,61.799867
134,63.332371
135,64.863527
136,63.751941
137,61.349662
138,60.667140
139,59.442090
140,58.231087
141,58.922395
142,59.130495
143,60.963235
144,62.793590
145,64.746629
146,64.830618
147,64.567680
148,63.562845
149,63.905213
150,63.894765
