time,avg_gain
5.0,72.37559
10.0,74.07419
15.0,76.03224
20.0,72.22499
25.0,71.40122
30.0,69.45367
35.0,71.43399
40.0,70.85265
45.0,73.53659
50.0,75.84479
55.0,76.44387
60.0,76.19099
65.0,72.80959
70.0,69.31755
75.0,67.41816
80.0,68.04360
85.0,67.89489
90.0,67.29551
95.0,68.49877
100.0,69.06040
105.0,70.74379
110.0,68.87897
115.0,70.77653
120.0,73.12142
125.0,70.64399
130.0,66.85653
135.0,68.58122
140.0,66.73244
145.0,68.49408
150.0,69.47280
155.0,69.02489
160.0,75.48859
165.0,77.63510
170.0,78.41559
175.0,75.96061
180.0,70.34142
185.0,70.90775
190.0,69.39918
195.0,68.43719
200.0,69.23632
205.0,67.94448
210.0,71.81061
215.0,66.51306
220.0,68.14734
225.0,65.24879
230.0,65.22612
235.0,65.02959
240.0,66.12040
245.0,65.30469
250.0,68.35199
255.0,71.32080
260.0,76.97897
265.0,78.94780
270.0,76.34061
275.0,71.43160
280.0,69.83000
285.0,69.35673
290.0,71.42346
295.0,69.20439
300.0,67.23408
305.0,66.86020
310.0,66.38734
315.0,67.35660
320.0,66.82959
325.0,70.16918
330.0,69.62367
335.0,69.19387
340.0,72.28879
345.0,73.02775
350.0,72.59571
355.0,70.33285
360.0,69.96779
365.0,70.19795
370.0,67.52673
375.0,68.05469
380.0,68.08244
385.0,68.44939
390.0,65.31510
395.0,64.42020
400.0,64.29387
405.0,64.16816
410.0,66.47102
415.0,70.65300
420.0,73.05938
425.0,73.92918
430.0,67.33204
435.0,70.71142
440.0,74.60999
445.0,75.72367
450.0,75.52260
455.0,74.30520
460.0,75.21204
465.0,70.05081
470.0,68.25839
475.0,66.64999
480.0,68.34326
485.0,67.06632
490.0,69.77379
495.0,66.92918
500.0,68.47510
505.0,68.88387
510.0,68.52448
515.0,64.84619
520.0,65.35734
525.0,65.39408
530.0,64.71918
535.0,65.07040
540.0,75.96419
545.0,77.09199
550.0,76.78408
555.0,72.39120
560.0,68.06122
565.0,70.45938
570.0,65.12653
575.0,66.71918
580.0,67.62060
585.0,69.56142
590.0,70.04999
595.0,70.29061
600.0,68.63119
605.0,68.95040
610.0,67.34224
615.0,68.28775
620.0,69.09346
625.0,64.68940
630.0,64.43755
635.0,66.56204
640.0,70.92367
645.0,66.18306
650.0,67.30960
655.0,66.85959
660.0,66.00693
665.0,65.67448
670.0,67.76408
675.0,67.95306
680.0,67.62620
685.0,67.59673
690.0,66.16448
695.0,66.80163
700.0,65.21469
705.0,66.42380
710.0,66.76938
715.0,69.11571
720.0,69.25040
725.0,67.28714
730.0,69.45612
735.0,68.97820
740.0,66.70918
745.0,66.31408
750.0,66.21469
755.0,65.41306
760.0,66.72183
765.0,65.41159
770.0,67.18591
775.0,69.71877
780.0,67.26367
