time,avg_gain
5.0,64.96519
10.0,66.62102
15.0,67.04119
20.0,65.40224
25.0,64.00749
45.0,78.85075
50.0,78.35734
55.0,75.22399
60.0,70.78571
65.0,67.97959
70.0,71.60551
75.0,73.12919
80.0,65.78122
85.0,64.01816
90.0,66.85979
95.0,63.62816
100.0,63.36119
105.0,69.71918
110.0,72.00489
115.0,65.35530
120.0,67.38699
125.0,67.10755
130.0,71.52061
135.0,63.74877
140.0,67.44081
145.0,69.34860
150.0,69.02959
155.0,67.48857
160.0,70.05857
165.0,68.19775
170.0,69.69499
175.0,69.62551
180.0,72.27795
185.0,75.06469
190.0,72.22244
195.0,73.07040
200.0,71.98510
205.0,67.37836
210.0,70.92918
215.0,67.33360
220.0,65.30653
225.0,66.26081
230.0,71.54714
235.0,71.28719
240.0,72.11591
245.0,71.78367
250.0,75.05183
255.0,65.79200
260.0,67.33224
265.0,66.14163
270.0,67.01244
275.0,72.74816
280.0,73.27420
285.0,65.55142
290.0,66.49367
295.0,73.72040
300.0,74.15591
305.0,72.92219
310.0,76.32020
315.0,72.72326
320.0,69.98387
325.0,73.90679
330.0,70.13673
335.0,67.48183
340.0,70.82979
345.0,70.49200
375.0,74.24540
380.0,73.28795
385.0,68.60059
390.0,65.19163
395.0,65.70285
400.0,63.67326
405.0,67.63599
410.0,67.01530
415.0,67.61918
420.0,68.32999
425.0,71.90740
430.0,71.44163
435.0,73.96918
440.0,71.40040
445.0,71.63640
450.0,68.62755
455.0,70.79959
460.0,68.72102
465.0,67.53163
470.0,67.64780
475.0,71.63693
480.0,67.61102
485.0,68.88551
490.0,62.33367
495.0,65.08939
500.0,63.42877
505.0,69.76183
510.0,69.70653
515.0,79.00839
520.0,71.24387
525.0,69.78857
530.0,71.57734
535.0,71.00795
540.0,71.78039
545.0,73.54591
550.0,70.04510
555.0,69.09571
560.0,69.19408
565.0,68.52379
570.0,69.59591
575.0,69.39448
580.0,68.44571
585.0,65.62285
590.0,66.54140
595.0,66.74714
600.0,66.34448
605.0,66.48102
610.0,65.44775
615.0,66.55259
620.0,70.08877
625.0,65.48591
630.0,72.73755
635.0,67.41079
640.0,71.22224
645.0,64.98183
650.0,66.45459
655.0,67.97204
660.0,68.46183
665.0,67.89102
670.0,66.56306
675.0,69.03979
680.0,68.57367
685.0,67.68448
690.0,67.89489
695.0,69.98300
700.0,73.83428
705.0,73.64020
710.0,70.66020
715.0,66.42551
720.0,71.11139
725.0,66.30836
730.0,64.12081
735.0,64.52224
740.0,66.55920
745.0,66.53571
750.0,65.13612
755.0,66.64040
760.0,67.09775
765.0,64.62359
770.0,65.46122
775.0,68.44061
780.0,73.07857
785.0,68.0
