time,avg_gain
5.0,71.85294
10.0,74.44000
15.0,73.36599
20.0,60.84599
25.0,65.80199
30.0,69.66599
35.0,70.54800
40.0,68.24999
45.0,62.55199
50.0,64.14399
55.0,59.91400
60.0,58.47999
65.0,61.79600
70.0,60.81800
75.0,68.38799
80.0,69.88599
85.0,63.82599
90.0,63.14399
95.0,68.19800
100.0,62.28199
105.0,61.38799
110.0,63.87599
115.0,67.59399
120.0,60.61799
125.0,64.66800
130.0,61.45399
135.0,57.11600
140.0,63.42799
145.0,61.50200
150.0,62.23399
155.0,66.30199
160.0,66.13999
165.0,68.52600
170.0,69.33599
175.0,65.94999
180.0,66.54200
185.0,67.44599
190.0,69.49399
195.0,67.34999
200.0,66.12400
205.0,68.84400
210.0,68.84399
215.0,77.45999
220.0,71.01600
225.0,67.26000
230.0,69.72400
235.0,63.32400
240.0,76.62600
245.0,67.82200
250.0,65.53600
255.0,67.21200
260.0,66.92599
265.0,66.45799
270.0,66.15599
275.0,62.04400
280.0,60.62600
285.0,61.76200
290.0,58.52199
295.0,61.28200
300.0,63.58600
305.0,64.07999
310.0,67.63400
315.0,70.08399
320.0,62.63400
325.0,60.18200
330.0,77.11599
335.0,71.38199
340.0,65.03399
345.0,66.74399
350.0,63.24000
355.0,67.19400
360.0,72.0
365.0,65.41399
370.0,69.23199
375.0,67.36399
380.0,65.41800
385.0,64.50000
390.0,68.48600
395.0,75.75200
400.0,77.75399
405.0,76.83799
410.0,76.48600
415.0,76.26799
420.0,78.56600
425.0,79.01400
430.0,74.40400
435.0,72.99199
440.0,75.61400
445.0,77.79200
450.0,79.41400
455.0,76.05600
460.0,70.40999
465.0,78.25399
470.0,72.05000
475.0,70.82200
480.0,76.53600
485.0,74.68200
490.0,72.20800
495.0,69.72800
500.0,69.49200
505.0,74.76399
510.0,76.46999
515.0,86.72800
520.0,82.54599
525.0,74.85800
530.0,84.14399
535.0,77.29200
540.0,80.19399
545.0,73.32400
550.0,69.53600
555.0,69.78000
560.0,66.11999
565.0,70.93800
570.0,77.04399
575.0,76.20800
580.0,71.33399
585.0,67.73399
590.0,69.00000
595.0,73.28799
600.0,81.38599
605.0,77.89400
610.0,79.38600
615.0,83.98800
620.0,80.62399
625.0,83.37600
630.0,80.90200
635.0,80.91000
640.0,80.60999
645.0,79.34999
650.0,79.23200
655.0,78.88399
660.0,82.08200
665.0,80.76000
670.0,77.59399
675.0,76.89200
680.0,85.20200
685.0,84.46999
690.0,83.74800
695.0,88.57200
700.0,85.33000
705.0,83.09199
710.0,86.03399
715.0,79.80400
720.0,86.33599
725.0,85.04000
730.0,78.81000
735.0,79.61199
740.0,77.49799
745.0,81.84400
750.0,77.88800
755.0,80.77400
760.0,82.02800
765.0,88.42400
770.0,81.26000
775.0,80.09599
780.0,79.70799
