time,avg_gain
5.0,66.21960
10.0,66.85599
15.0,69.34400
20.0,67.01000
25.0,65.40400
30.0,74.64799
35.0,70.31999
40.0,67.56799
45.0,64.74799
50.0,63.99800
55.0,63.49199
60.0,69.98399
65.0,73.41200
70.0,68.08600
75.0,67.83600
80.0,65.09400
85.0,61.15199
90.0,61.40599
95.0,66.32000
100.0,63.57400
105.0,65.10799
110.0,69.45400
115.0,67.78000
120.0,67.83799
125.0,67.83800
130.0,68.11399
135.0,64.08800
140.0,64.76399
145.0,67.07800
150.0,75.69999
155.0,67.95399
160.0,63.24400
165.0,62.83799
170.0,61.28000
175.0,64.27999
180.0,71.87599
185.0,68.14999
190.0,68.04799
195.0,75.51599
200.0,73.60199
205.0,68.49399
210.0,73.61799
215.0,71.43599
220.0,74.78200
225.0,70.96799
230.0,70.31399
235.0,72.64600
240.0,69.53199
245.0,68.81999
250.0,71.13400
255.0,70.68400
260.0,70.50799
265.0,65.42599
270.0,64.30799
275.0,63.87600
280.0,63.15999
285.0,69.61999
290.0,69.55800
295.0,70.64799
300.0,63.90599
305.0,61.59800
310.0,59.73999
315.0,65.47199
320.0,71.74200
325.0,71.70000
330.0,71.17200
335.0,67.09599
340.0,64.50000
345.0,70.16399
350.0,71.27600
355.0,71.10999
360.0,66.37999
365.0,71.18999
370.0,69.23599
375.0,67.57999
380.0,67.35200
385.0,67.05199
390.0,62.73199
395.0,60.85200
400.0,58.90800
405.0,59.35200
410.0,60.94199
415.0,69.69200
420.0,64.51000
425.0,63.71999
430.0,67.51400
435.0,73.51799
440.0,81.67000
445.0,73.83599
450.0,68.01600
455.0,68.63200
460.0,72.27600
465.0,79.67599
470.0,79.35399
475.0,75.95999
480.0,76.60799
485.0,77.39800
490.0,74.27400
495.0,68.04600
500.0,65.22200
505.0,64.92999
510.0,67.04200
515.0,71.66600
520.0,65.57799
525.0,64.12599
530.0,68.16400
535.0,68.26599
540.0,64.65399
545.0,69.21399
550.0,72.70000
555.0,70.92599
560.0,72.31200
565.0,73.16599
570.0,71.65600
575.0,80.66200
580.0,77.29399
585.0,74.83400
590.0,71.56000
595.0,74.38599
600.0,69.17600
605.0,66.77200
610.0,61.81400
615.0,60.31399
620.0,64.22599
625.0,62.93599
630.0,69.12999
635.0,64.38999
640.0,67.25199
645.0,72.99599
650.0,70.36800
655.0,65.89600
660.0,69.19799
665.0,67.78199
670.0,71.34000
675.0,71.43399
680.0,76.57000
685.0,74.80799
690.0,76.76200
695.0,80.36600
700.0,74.84200
705.0,72.29199
710.0,71.67000
715.0,71.34399
720.0,64.13600
725.0,69.31600
730.0,74.16000
735.0,75.42400
740.0,77.03600
745.0,77.11600
750.0,76.57200
755.0,78.39000
760.0,74.65799
765.0,67.78600
770.0,64.48200
775.0,71.38599
780.0,69.90599
