time,avg_gain
5.0,68.21176
10.0,63.88199
15.0,65.96399
20.0,63.45400
25.0,61.17199
30.0,63.89000
35.0,64.98999
40.0,63.88999
45.0,67.04600
50.0,72.79999
55.0,71.60600
60.0,68.26999
65.0,67.37799
70.0,63.79799
75.0,62.26199
80.0,63.40000
85.0,62.01199
90.0,62.07800
95.0,64.44799
100.0,67.74200
105.0,68.12999
110.0,67.06799
115.0,65.89199
120.0,66.37599
125.0,67.68000
130.0,65.74800
135.0,66.72400
140.0,66.93800
145.0,68.47199
150.0,69.83799
155.0,69.07000
160.0,69.35199
165.0,63.13000
170.0,64.93200
175.0,62.58799
180.0,61.07199
185.0,65.64400
190.0,67.01000
195.0,67.33599
200.0,77.83200
205.0,74.35399
210.0,68.40600
215.0,68.06799
220.0,68.85600
225.0,63.32999
230.0,59.35600
235.0,59.58600
240.0,61.40800
245.0,62.42000
250.0,70.27400
255.0,75.53199
260.0,68.95200
265.0,68.18599
270.0,67.58800
275.0,63.17600
280.0,59.45400
285.0,59.41199
290.0,59.36400
295.0,61.11600
300.0,63.51400
305.0,63.87799
310.0,63.38200
315.0,67.44999
320.0,66.97999
325.0,67.51800
330.0,69.19199
335.0,68.17400
340.0,68.15000
345.0,70.42799
350.0,76.59799
355.0,70.29999
360.0,65.60599
365.0,66.03400
370.0,65.15000
375.0,64.09799
380.0,69.15799
385.0,69.73399
390.0,69.60799
395.0,69.25600
400.0,67.08200
405.0,69.29799
410.0,69.36599
415.0,65.64599
420.0,61.31599
425.0,61.41000
430.0,60.86399
435.0,61.06200
440.0,61.91199
445.0,60.10400
450.0,67.28400
455.0,74.50200
460.0,67.65600
465.0,66.85999
470.0,64.59399
475.0,62.76800
480.0,62.80799
485.0,62.77200
490.0,63.13199
495.0,63.58200
500.0,69.97600
505.0,68.68400
510.0,68.59000
515.0,66.18999
520.0,68.22000
525.0,70.37999
530.0,74.55399
535.0,77.68399
540.0,77.97000
545.0,76.38799
550.0,76.87599
555.0,82.17799
560.0,74.17799
565.0,69.17400
570.0,67.76000
575.0,64.94799
580.0,65.14800
585.0,63.25799
590.0,61.74800
595.0,62.20999
600.0,67.30999
605.0,71.51400
610.0,72.82200
615.0,68.16599
620.0,66.87199
625.0,64.44200
630.0,63.93199
635.0,65.10800
640.0,72.77199
645.0,72.58000
650.0,74.73799
655.0,70.99800
660.0,68.14000
665.0,65.60999
670.0,65.44600
675.0,65.33400
680.0,64.44600
685.0,64.21400
690.0,62.14800
695.0,61.75399
700.0,65.80599
705.0,68.99600
710.0,70.78200
715.0,71.16400
720.0,64.39200
725.0,60.95799
730.0,62.55600
735.0,61.34600
740.0,58.04200
745.0,55.67000
750.0,59.26600
755.0,60.17111
