time,avg_gain
5.0,60.74313
10.0,64.11599
15.0,67.68800
20.0,70.09199
25.0,73.47999
30.0,72.49600
35.0,70.36938
40.0,67.22156
45.0,64.70799
50.0,61.06599
55.0,61.10999
60.0,60.28199
65.0,58.54999
70.0,58.86800
75.0,57.46399
80.0,56.86400
85.0,58.26200
90.0,59.10400
95.0,62.10600
100.0,62.50799
105.0,62.60399
110.0,63.24199
115.0,69.61599
120.0,72.08400
125.0,63.13599
130.0,60.56999
135.0,59.48600
140.0,60.50199
145.0,64.00600
150.0,66.41399
155.0,73.56599
160.0,74.58199
165.0,68.64799
170.0,61.99200
175.0,60.47200
180.0,60.07599
185.0,59.31000
190.0,60.26799
195.0,61.30999
200.0,60.45799
205.0,67.68399
210.0,70.45999
215.0,62.95999
220.0,63.35200
225.0,62.53200
230.0,69.12199
235.0,65.23000
240.0,57.08600
245.0,57.45400
250.0,58.15200
255.0,56.36000
260.0,55.45000
265.0,56.00599
270.0,57.89599
275.0,57.94400
280.0,61.36200
285.0,62.29999
290.0,65.82199
295.0,69.24399
300.0,70.12599
305.0,69.88200
310.0,61.16199
315.0,59.92200
320.0,60.33200
325.0,62.93400
330.0,67.38800
335.0,72.47199
340.0,72.73000
345.0,66.35199
350.0,62.97400
355.0,60.29399
360.0,60.46200
365.0,62.87599
370.0,65.99600
375.0,60.06000
380.0,60.44799
385.0,61.99200
390.0,64.66599
395.0,64.10600
400.0,59.04599
405.0,57.64600
410.0,56.44399
415.0,56.97600
420.0,57.49000
425.0,57.85800
430.0,61.00600
435.0,67.69399
440.0,64.48600
445.0,60.45399
450.0,61.31399
455.0,64.12000
460.0,62.12399
465.0,61.77399
470.0,59.93800
475.0,61.53800
480.0,60.21000
485.0,66.93000
490.0,68.76200
495.0,68.59000
500.0,63.35000
505.0,60.74200
510.0,64.14600
515.0,64.97000
520.0,69.17199
525.0,72.33399
530.0,73.08400
535.0,70.28400
540.0,69.24600
545.0,69.53799
550.0,64.11799
555.0,63.50399
560.0,62.54399
565.0,60.84200
570.0,59.86800
575.0,61.47399
580.0,59.28199
585.0,58.25199
590.0,58.30399
595.0,60.60199
600.0,63.51000
605.0,66.30599
610.0,62.94799
615.0,60.22599
620.0,65.39999
625.0,65.61199
630.0,65.07599
635.0,65.16199
640.0,65.76000
645.0,66.55999
650.0,68.10999
655.0,67.66799
660.0,69.54200
665.0,68.44200
670.0,71.20799
675.0,68.19999
680.0,60.26600
685.0,59.55599
690.0,60.45000
695.0,62.58599
700.0,67.74600
705.0,68.39600
710.0,63.28599
715.0,61.25200
720.0,62.67999
725.0,64.67200
730.0,71.17999
735.0,71.96399
740.0,67.05799
745.0,64.39399
750.0,63.67199
755.0,59.70000
760.0,60.13200
765.0,58.78600
770.0,59.61999
775.0,57.66800
780.0,60.73589
