time,avg_gain
5.0,68.28240
10.0,69.90160
15.0,71.41836
20.0,67.49326
25.0,65.13200
30.0,67.43265
35.0,63.45693
40.0,63.06795
45.0,61.25959
50.0,64.94519
55.0,65.31061
60.0,68.61102
65.0,66.15530
70.0,62.47632
75.0,63.11339
80.0,62.52020
85.0,61.30959
90.0,61.94224
95.0,62.77469
100.0,62.52510
105.0,61.23632
110.0,60.81100
115.0,63.27775
120.0,64.49285
125.0,62.54530
130.0,67.83489
135.0,67.51879
140.0,64.86224
145.0,66.56979
150.0,67.14479
155.0,66.15779
160.0,66.17428
165.0,63.44265
170.0,60.42795
175.0,63.45019
180.0,68.12734
185.0,71.62519
190.0,72.95163
195.0,68.35519
200.0,64.17000
205.0,64.82244
210.0,67.53081
215.0,66.65918
220.0,64.86679
225.0,69.04755
230.0,64.66142
235.0,66.87679
240.0,61.77163
245.0,60.67122
250.0,60.55599
255.0,57.95204
260.0,58.23632
265.0,60.45204
270.0,63.75081
275.0,65.59428
280.0,65.03680
285.0,68.20551
290.0,63.21122
295.0,64.65836
300.0,63.05632
305.0,64.09551
310.0,63.64199
315.0,64.57408
320.0,61.91061
325.0,64.06081
330.0,66.61510
335.0,66.19380
340.0,64.57693
345.0,64.64857
350.0,61.46591
355.0,61.31653
360.0,58.70551
365.0,61.61719
370.0,58.15551
375.0,59.17836
380.0,61.22938
385.0,69.71673
390.0,70.63099
395.0,67.32857
400.0,62.34551
405.0,63.59346
410.0,66.31040
415.0,63.75020
420.0,61.01820
425.0,61.96102
430.0,61.54204
435.0,60.98204
440.0,60.96571
445.0,59.62360
450.0,60.09367
455.0,58.44428
460.0,60.84367
465.0,58.81224
470.0,57.76224
475.0,59.09679
480.0,59.23040
485.0,62.09183
490.0,65.53000
495.0,66.63673
500.0,67.12714
505.0,63.44900
510.0,64.15734
515.0,66.56918
520.0,65.55857
525.0,61.40183
530.0,63.97540
535.0,61.73061
540.0,61.48979
545.0,62.19816
550.0,68.37510
555.0,67.61560
560.0,63.33061
565.0,63.79244
570.0,62.15081
575.0,61.03816
580.0,60.75319
585.0,63.67612
590.0,60.46265
595.0,58.63720
600.0,58.97387
605.0,62.13775
610.0,65.07244
615.0,66.41387
620.0,73.24900
625.0,72.94224
630.0,72.15367
635.0,77.26980
640.0,73.33693
645.0,71.56489
650.0,69.47265
655.0,68.78714
660.0,64.88408
665.0,64.42439
670.0,63.19306
675.0,61.79061
680.0,60.95204
685.0,61.88140
690.0,64.69183
695.0,70.53039
700.0,69.66326
705.0,65.82199
710.0,61.32183
715.0,60.92510
720.0,61.57714
725.0,63.43918
730.0,64.73419
735.0,62.13224
740.0,61.92571
745.0,63.60122
750.0,63.14530
755.0,62.12779
760.0,61.58081
765.0,63.63448
770.0,66.41285
775.0,60.43877
780.0,62.56200
