time,avg_gain
5.0,70.92960
10.0,65.15653
15.0,62.36102
20.0,59.22640
25.0,62.85387
30.0,58.43081
35.0,59.69775
40.0,61.28900
45.0,63.65183
50.0,65.58183
55.0,68.77163
60.0,69.49265
65.0,64.64380
70.0,65.87020
75.0,62.75040
80.0,70.70040
85.0,75.58780
90.0,73.35040
95.0,74.43460
100.0,72.72120
105.0,68.95244
110.0,68.73795
115.0,66.40918
120.0,63.18489
125.0,63.93459
130.0,63.30591
135.0,60.68632
140.0,62.90795
145.0,70.19102
150.0,67.68530
155.0,67.93079
160.0,66.66918
165.0,63.21938
170.0,62.19326
175.0,65.38959
180.0,63.89800
185.0,61.43061
190.0,61.22285
195.0,63.64040
200.0,63.31693
205.0,65.29734
210.0,64.28860
215.0,63.01877
220.0,61.68938
225.0,63.79673
230.0,66.32020
235.0,64.05591
240.0,62.89408
245.0,66.49734
250.0,65.49183
255.0,68.71320
260.0,67.37428
265.0,65.43599
270.0,61.36551
275.0,61.50326
280.0,64.56775
285.0,64.14530
290.0,63.40160
295.0,61.46306
300.0,61.62163
305.0,60.98020
310.0,62.68612
315.0,66.87100
320.0,64.75040
325.0,67.00653
330.0,68.51469
335.0,64.22551
340.0,68.85653
345.0,63.22160
350.0,65.73999
355.0,69.42387
360.0,62.27897
365.0,62.22259
370.0,63.67571
375.0,63.44795
380.0,62.85775
385.0,63.23224
390.0,62.29244
395.0,63.60720
400.0,64.75326
405.0,62.25530
410.0,61.13897
415.0,59.56530
420.0,60.02640
425.0,60.40224
430.0,61.48979
435.0,60.60530
440.0,61.70653
445.0,59.59795
450.0,63.87960
455.0,64.14857
460.0,66.67367
465.0,67.23000
470.0,63.66285
475.0,66.88719
480.0,59.90714
485.0,62.54979
490.0,58.02306
495.0,65.81460
500.0,61.50163
505.0,60.87163
510.0,62.18918
515.0,64.12719
520.0,63.13489
525.0,62.52387
530.0,63.99775
535.0,70.09061
540.0,68.48469
545.0,72.67420
550.0,74.56163
555.0,69.88183
560.0,63.29339
565.0,62.43877
570.0,60.61979
575.0,57.22102
580.0,59.82163
585.0,60.21840
590.0,62.34285
595.0,62.21285
600.0,59.35306
605.0,54.77755
610.0,60.29653
615.0,56.97099
620.0,59.46836
625.0,66.27673
630.0,63.02877
635.0,70.94102
640.0,69.34980
645.0,67.21102
650.0,65.57040
655.0,59.82714
660.0,61.77819
665.0,61.70979
670.0,61.68632
675.0,66.44142
680.0,61.28224
685.0,61.51408
690.0,60.62879
695.0,68.64918
700.0,67.41734
705.0,67.03244
710.0,69.10244
715.0,66.96640
720.0,64.89183
725.0,60.72408
730.0,59.86857
735.0,59.07428
740.0,59.59326
745.0,59.23060
750.0,60.03795
755.0,62.82142
760.0,62.59591
765.0,62.12653
770.0,61.19240
775.0,63.98040
780.0,63.41448
