time,avg_gain
5.0,67.52549
10.0,66.50799
15.0,63.91400
20.0,63.68599
25.0,63.88599
30.0,62.69600
35.0,66.13799
40.0,69.98600
45.0,69.42799
50.0,69.03200
55.0,69.97200
60.0,73.32199
65.0,65.85800
70.0,66.27800
75.0,67.93200
80.0,66.23199
85.0,66.80200
90.0,66.19600
95.0,70.51199
100.0,72.52800
105.0,68.77600
110.0,71.74599
115.0,70.18200
120.0,68.44799
125.0,67.39400
130.0,71.69999
135.0,71.06800
140.0,65.39199
145.0,66.18599
150.0,61.85000
155.0,63.88199
160.0,62.06200
165.0,62.31399
170.0,67.75800
175.0,70.04799
180.0,74.76400
185.0,65.24200
190.0,61.93600
195.0,65.05000
200.0,67.51199
205.0,65.47199
210.0,66.66800
215.0,66.98600
220.0,66.25600
225.0,63.86000
230.0,64.81399
235.0,67.19000
240.0,69.50200
245.0,70.66800
250.0,64.44999
255.0,64.05799
260.0,66.18599
265.0,64.46999
270.0,65.83599
275.0,62.85199
280.0,64.78400
285.0,67.92799
290.0,73.76200
295.0,73.53200
300.0,72.62200
305.0,65.60999
310.0,62.51999
315.0,62.97999
320.0,64.81200
325.0,61.98200
330.0,55.59799
335.0,59.42800
340.0,59.63200
345.0,60.06600
350.0,65.38799
355.0,65.79400
360.0,68.84200
365.0,75.41200
370.0,74.67200
375.0,74.92400
380.0,69.09599
385.0,66.90999
390.0,66.49599
395.0,65.56599
400.0,66.45400
405.0,63.32999
410.0,63.20599
415.0,67.06999
420.0,67.58200
425.0,64.63600
430.0,61.66600
435.0,63.19200
440.0,63.80400
445.0,68.20199
450.0,74.34599
455.0,77.48799
460.0,70.79599
465.0,64.35600
470.0,62.87600
475.0,58.60999
480.0,64.43199
485.0,68.56399
490.0,62.60799
495.0,63.39600
500.0,61.53000
505.0,60.95200
510.0,61.84999
515.0,63.13799
520.0,67.18999
525.0,69.28999
530.0,66.11199
535.0,68.83000
540.0,68.75600
545.0,68.55000
550.0,65.71200
555.0,61.69600
560.0,59.44600
565.0,59.55399
570.0,58.10800
575.0,60.14600
580.0,60.57799
585.0,64.47800
590.0,68.89399
595.0,67.48999
600.0,65.39400
605.0,61.04399
610.0,60.69599
615.0,59.67999
620.0,64.06200
625.0,63.28599
630.0,62.81600
635.0,64.07199
640.0,61.75200
645.0,65.47999
650.0,66.06800
655.0,64.30400
660.0,70.98799
665.0,67.05999
670.0,62.34199
675.0,65.19999
680.0,67.91199
685.0,65.59000
690.0,63.58200
695.0,68.22999
700.0,65.98599
705.0,68.43800
710.0,65.93000
715.0,67.80400
720.0,71.01200
725.0,70.54399
730.0,72.14600
735.0,70.01599
740.0,64.07000
745.0,62.38800
750.0,63.92400
755.0,65.66800
760.0,71.98200
765.0,75.09799
770.0,69.09599
775.0,69.34749
