time,avg_gain
5.0,33.24901
10.0,33.30199
15.0,34.33600
20.0,42.28200
25.0,39.03799
30.0,35.09400
35.0,33.89000
40.0,34.92199
45.0,33.72000
50.0,34.17800
55.0,36.16799
60.0,36.10599
65.0,34.50999
70.0,33.69800
75.0,34.32800
80.0,34.59000
85.0,35.31200
90.0,34.66600
95.0,37.41999
100.0,41.26799
105.0,37.39399
110.0,38.16599
115.0,39.47999
120.0,33.86199
125.0,33.48599
130.0,32.90599
135.0,33.70199
140.0,33.88199
145.0,35.26200
150.0,35.44800
155.0,35.32200
160.0,36.91000
165.0,37.16799
170.0,39.32599
175.0,34.58400
180.0,34.55400
185.0,36.07399
190.0,39.21399
195.0,41.02400
200.0,41.11599
205.0,44.45199
210.0,40.78400
215.0,39.86000
220.0,37.70399
225.0,33.76800
230.0,35.33399
235.0,38.06200
240.0,34.26599
245.0,32.25200
250.0,33.38999
255.0,36.18000
260.0,33.45000
265.0,33.22000
270.0,34.21399
275.0,33.05400
280.0,31.54600
285.0,33.02600
290.0,36.18200
295.0,41.00199
300.0,40.89999
305.0,42.60800
310.0,40.18999
315.0,35.96000
320.0,35.85400
325.0,34.63600
330.0,38.61800
335.0,41.76999
340.0,40.21600
345.0,34.40599
350.0,34.81199
355.0,34.72800
360.0,39.45400
365.0,36.85000
370.0,35.32399
375.0,32.97200
380.0,31.51399
385.0,32.45199
390.0,38.83800
395.0,36.25599
400.0,38.55999
405.0,40.43399
410.0,35.28600
415.0,32.29600
420.0,33.20799
425.0,33.89799
430.0,36.18200
435.0,37.36799
440.0,35.16199
445.0,33.20799
450.0,31.07599
455.0,31.54800
460.0,34.91399
465.0,37.30599
470.0,38.28200
475.0,37.07199
480.0,37.42399
485.0,33.68000
490.0,37.53400
495.0,35.91200
500.0,33.46000
505.0,32.50400
510.0,35.14799
515.0,36.76400
520.0,36.41200
525.0,35.74600
530.0,34.25799
535.0,33.54800
540.0,33.65600
545.0,33.16000
550.0,32.27799
555.0,33.20400
560.0,36.46999
565.0,37.25799
570.0,33.83000
575.0,31.57599
580.0,32.85599
585.0,32.33400
590.0,34.13000
595.0,37.63199
600.0,42.59600
605.0,40.70799
610.0,38.30199
615.0,35.20200
620.0,36.16599
625.0,36.18399
630.0,40.67800
635.0,39.38200
640.0,34.46600
645.0,32.54800
650.0,31.51399
655.0,30.53999
660.0,30.40600
665.0,33.55600
670.0,34.34600
675.0,38.02200
680.0,38.92600
685.0,36.31600
690.0,36.29200
695.0,33.36200
700.0,33.04800
705.0,31.03000
710.0,29.69600
715.0,31.69000
720.0,35.65200
725.0,39.87799
730.0,39.59200
735.0,34.16400
740.0,34.45199
745.0,36.07600
750.0,37.03000
755.0,35.55999
760.0,33.06000
765.0,31.37400
770.0,29.49199
775.0,29.30199
780.0,29.87199
