time,avg_gain
5.0,76.91819
10.0,75.96163
15.0,68.19459
20.0,68.76285
25.0,67.18959
30.0,71.59326
35.0,76.20816
40.0,73.45559
45.0,67.40348
50.0,74.12714
55.0,70.90795
60.0,69.14918
65.0,64.91244
70.0,67.25489
75.0,73.33980
80.0,74.50428
85.0,74.94530
90.0,71.30795
95.0,72.99551
100.0,73.12816
105.0,71.93800
110.0,70.76693
115.0,66.43959
120.0,61.91387
125.0,61.56224
130.0,63.43897
135.0,70.46819
140.0,77.32897
145.0,75.10163
150.0,75.36040
155.0,70.20244
160.0,66.98440
165.0,69.15204
170.0,70.35714
175.0,74.49857
180.0,70.20081
185.0,69.00219
190.0,70.40489
195.0,73.99040
200.0,73.32122
205.0,68.03244
210.0,63.25836
215.0,61.20299
220.0,62.47367
225.0,72.73224
230.0,71.08122
235.0,65.66959
240.0,61.05285
245.0,61.50489
250.0,69.33679
255.0,70.91673
260.0,72.64775
265.0,66.34204
270.0,66.68653
275.0,75.51779
280.0,79.65938
285.0,77.27918
290.0,70.24879
295.0,69.14163
300.0,73.21061
305.0,74.56061
310.0,75.45755
315.0,74.99959
320.0,72.42220
325.0,68.07448
330.0,65.01938
335.0,60.86795
340.0,63.68285
345.0,71.88780
350.0,74.19857
355.0,72.45326
360.0,75.03265
365.0,73.65979
370.0,70.70469
375.0,70.32857
380.0,70.37420
385.0,71.44000
390.0,73.60938
395.0,70.22489
400.0,66.79163
405.0,69.37551
410.0,63.27799
415.0,61.27959
420.0,60.49673
425.0,62.06836
430.0,71.69510
435.0,73.83326
440.0,72.83836
445.0,75.45539
450.0,71.60979
455.0,70.41591
460.0,69.03285
465.0,61.01428
470.0,66.30836
475.0,73.52400
480.0,71.52061
485.0,72.02306
490.0,69.28040
495.0,65.63632
500.0,68.11551
505.0,66.71081
510.0,68.98060
515.0,74.90142
520.0,76.23285
525.0,72.24938
530.0,74.19734
535.0,74.06780
540.0,71.02979
545.0,72.87469
550.0,79.31489
555.0,70.18775
560.0,70.62479
565.0,64.02163
570.0,64.89795
575.0,69.11489
580.0,69.44244
585.0,76.16306
590.0,74.80959
595.0,74.81612
600.0,72.75551
605.0,73.12163
610.0,70.32714
615.0,65.36897
620.0,61.69739
625.0,63.52040
630.0,63.25020
635.0,67.98285
640.0,68.35224
645.0,71.66244
650.0,71.33920
655.0,70.45979
660.0,68.17387
665.0,75.15755
670.0,74.16428
675.0,72.73571
680.0,74.34659
685.0,73.16673
690.0,73.21755
695.0,72.64877
700.0,74.97938
705.0,75.01359
710.0,71.98448
715.0,73.27775
720.0,71.28081
725.0,69.21632
730.0,68.19346
735.0,75.06775
740.0,74.98980
745.0,73.17918
750.0,73.61551
755.0,67.24775
760.0,68.02612
765.0,65.18999
770.0,67.06239
775.0,71.18428
780.0,69.31714
