time,avg_gain
5.0,67.66078
10.0,67.58200
15.0,67.61400
20.0,72.94200
25.0,63.58400
30.0,67.01200
35.0,64.70199
40.0,69.23000
45.0,65.27200
50.0,65.71600
55.0,66.18800
60.0,66.01199
65.0,69.67600
70.0,66.75799
75.0,70.80800
80.0,68.07200
85.0,76.21000
90.0,72.65599
95.0,69.38400
100.0,71.11800
105.0,70.69599
110.0,71.98799
115.0,70.51000
120.0,71.32600
125.0,72.57800
130.0,70.48599
135.0,69.26999
140.0,72.42599
145.0,70.75999
150.0,68.17999
155.0,66.88599
160.0,68.86200
165.0,75.33399
170.0,78.33399
175.0,75.55800
180.0,74.37199
185.0,75.72599
190.0,73.17200
195.0,70.56799
200.0,69.86800
205.0,68.05799
210.0,71.72000
215.0,70.62999
220.0,72.06999
225.0,71.37400
230.0,65.95600
235.0,67.54999
240.0,65.79200
245.0,69.36799
250.0,75.73200
255.0,76.51199
260.0,78.45999
265.0,77.06799
270.0,70.71200
275.0,66.81799
280.0,66.37600
285.0,69.75400
290.0,71.06199
295.0,72.24399
300.0,74.87400
305.0,72.68200
310.0,71.82400
315.0,68.74799
320.0,69.08400
325.0,65.79199
330.0,66.72200
335.0,70.37400
340.0,72.20000
345.0,68.90600
350.0,71.01200
355.0,70.35200
360.0,74.89000
365.0,68.22199
370.0,66.51799
375.0,70.02400
380.0,75.01000
385.0,76.42999
390.0,72.65600
395.0,69.71999
400.0,69.41799
405.0,62.50000
410.0,52.77678
415.0,74.23999
420.0,71.66600
425.0,65.11599
430.0,69.15800
435.0,73.40399
440.0,74.94800
445.0,70.68599
450.0,74.19800
455.0,73.28799
460.0,71.43600
465.0,72.28200
470.0,72.14600
475.0,76.83599
480.0,79.83999
485.0,78.29199
490.0,75.89800
495.0,74.69400
500.0,74.55199
505.0,73.28800
510.0,69.59999
515.0,69.80399
520.0,70.35799
525.0,68.90799
530.0,69.61599
535.0,70.38800
540.0,69.39799
545.0,73.35800
550.0,72.45199
555.0,69.36400
560.0,68.18000
565.0,69.78800
570.0,69.65600
575.0,69.46999
580.0,69.54400
585.0,74.59799
590.0,72.04999
595.0,71.70800
600.0,71.56999
605.0,74.39600
610.0,78.04200
615.0,74.13200
620.0,68.91199
625.0,69.52999
630.0,69.15400
635.0,71.03799
640.0,67.55600
645.0,68.41400
650.0,70.08599
655.0,72.45000
660.0,74.92800
665.0,69.58799
670.0,68.01199
675.0,69.56200
680.0,71.24600
685.0,76.56999
690.0,71.42799
695.0,73.03599
700.0,75.34800
705.0,72.32800
710.0,75.02999
715.0,72.83799
720.0,75.40600
725.0,73.02799
730.0,73.75199
735.0,71.91199
740.0,73.14600
745.0,77.24999
750.0,75.62000
755.0,74.33400
760.0,72.38400
765.0,71.14600
770.0,68.31000
775.0,67.29399
780.0,72.25600
