time,gain
0.021,74.91
0.122,75.61
0.222,74.45
0.323,80.4
0.426,79.8
0.526,74.3
0.627,66.78
0.728,69.51
0.829,70.89
0.929,65.33
1.03,63.53
1.13,63.6
1.231,78.95
1.332,72.19
1.432,73.41
1.532,66.55
1.633,63.26
1.734,64.56
1.834,66.78
1.935,63.99
2.035,64.17
2.137,71.74
2.237,71.74
2.338,69.51
2.441,69.51
2.542,72.26
2.644,72.26
2.744,74.09
2.845,73.73
2.945,75.18
3.046,76.69
3.147,74.85
3.247,78.57
3.348,73.77
3.451,72.42
3.552,79.18
3.652,79.91
3.754,75.9
3.855,72.85
3.955,73.92
4.056,74.88
4.156,74.18
4.258,71.37
4.358,69.44
4.46,72.33
4.56,71.34
4.662,72.31
4.763,70.3
4.864,80.43
4.966,81.15
5.067,77.04
5.168,76.72
5.269,74.09
5.37,73.05
5.471,73.65
5.572,74.53
5.672,75.99
5.774,75.03
5.875,72.08
5.975,73.5
6.076,74.86
6.176,71.98
6.277,72.15
6.378,70.28
6.478,71.22
6.579,71.75
6.679,72.26
6.781,71.67
6.882,70.94
6.982,71.74
7.083,72.78
7.183,71.28
7.284,72.69
7.384,73.42
7.484,71.78
7.585,74.93
7.685,75.33
7.786,72.93
7.886,74.19
7.988,73.4
8.089,74.94
8.19,74.35
8.29,75.67
8.39,73.19
8.491,75.7
8.592,75.24
8.693,76.6
8.793,75.03
8.894,74.49
8.994,75.22
9.095,74.67
9.195,73.66
9.296,73.66
9.397,75.7
9.497,76.03
9.598,76.92
9.698,77.07
9.798,75.78
9.9,75.6
10,76.93
10.101,76.51
10.201,76.94
10.303,75.53
10.403,73.18
10.504,72.83
10.604,72.76
10.706,75.09
10.806,74.93
10.907,74.99
11.008,75.93
11.108,75.25
11.209,77.1
11.31,78.5
11.41,77.61
11.511,75.96
11.611,77.44
11.712,77.71
11.813,77.04
11.914,77.93
12.015,76.14
12.116,75.13
12.218,75.76
12.318,75.08
12.419,75.74
12.52,76.21
12.621,76.23
12.723,76.83
12.823,76.09
12.924,76.56
13.025,77.02
13.126,77.57
13.227,76.58
13.328,77.51
13.43,79.25
13.531,77.03
13.631,78.42
13.732,77.44
13.833,75.96
13.934,74.05
14.035,74.03
14.139,75.9
14.24,75.23
14.341,75.82
14.442,75.32
14.543,74.38
14.644,76.04
14.744,75.09
14.845,74.58
14.946,75.36
15.046,77.64
15.147,75.94
15.248,77.15
15.349,77.8
15.449,75.63
15.55,75.26
15.65,73.24
15.751,75.82
15.852,73.53
15.953,74.51
16.053,74.51
16.154,66.5
16.256,66.04
16.358,65.95
16.46,67.87
16.561,66.12
16.663,67.12
16.765,66.13
16.867,68.66
16.969,65.96
17.072,74.97
17.173,74.97
17.275,67.35
17.377,69.31
17.485,60.86
17.585,75.25
17.686,76.82
17.786,79.18
17.887,74
17.988,75.96
18.088,75.96
18.19,65.81
18.292,67.48
18.394,73.98
18.495,74.6
18.596,74.6
18.696,74.38
18.797,74.38
18.899,69.24
19.002,72.24
19.103,72.24
19.204,75.3
19.306,66.15
19.409,60.03
19.509,77.5
19.611,77.5
19.714,77.21
19.815,77.21
19.915,78.59
20.017,66.8
20.12,57.84
20.221,57.84
20.323,70.74
20.423,76.61
20.525,74.56
20.625,76.28
20.727,75.37
20.827,76.85
20.928,76.85
21.03,74.93
21.131,74.23
21.232,74.23
21.333,68.01
21.435,60.99
21.536,77.77
21.636,76.29
21.737,76.29
21.838,67.97
21.939,66.75
22.041,66.75
22.143,73.81
22.243,73.96
22.344,73.96
22.445,67.23
22.546,65.21
22.647,74.09
22.748,74.09
22.85,73.11
22.951,73.11
23.052,64.79
23.154,64.79
23.255,73.08
23.358,73.54
23.459,73.54
23.56,65.65
23.661,66.93
23.764,58.39
23.865,58.39
23.966,77.33
24.069,76.61
24.17,76.61
24.271,76.42
24.373,74.91
24.474,74.91
24.575,76.91
24.676,66.71
24.778,73.85
24.879,73.85
24.98,75.73
25.082,65.55
25.185,65.55
25.286,73.24
25.387,68.09
25.49,61.35
25.592,75.91
25.692,75.91
25.794,67.21
25.897,74.66
25.999,74.66
26.099,76.27
26.201,68.31
26.303,74.14
26.404,75.17
26.505,75.53
26.605,75.27
26.706,74.69
26.807,74.69
26.908,77.18
27.011,59.88
27.113,59.88
27.213,75.33
27.315,65.75
27.418,57.91
27.519,73.24
27.62,73.24
27.722,65.71
27.824,64.59
27.925,71.56
28.027,71.36
28.13,71.62
28.231,72.55
28.332,72.55
28.433,62.83
28.534,65.71
28.636,76.78
28.738,67.39
28.84,69.7
28.941,69.7
29.043,62.81
29.143,61.84
29.245,70.69
29.345,65.53
29.447,62.96
29.548,65.97
29.649,72.36
29.749,71.16
29.852,55.24
29.952,74.01
30.053,70.18
30.153,72.65
30.253,71.6
30.354,71.8
30.458,72.22
30.558,73.29
30.659,72.01
30.759,70.88
30.86,73.97
30.96,74.07
31.06,71.89
31.161,70.17
31.261,70.73
31.362,70.17
31.463,69.45
31.564,73.27
31.665,71.82
31.767,73.85
31.868,74.59
31.97,74.12
32.071,72.06
32.171,75.86
32.272,73.66
32.372,71.49
32.473,72.6
32.573,70.25
32.673,71.04
32.774,70.99
32.875,71.08
32.975,74.86
33.076,74.86
33.177,63.59
33.28,54.92
33.382,54.92
33.483,74.67
33.584,69.62
33.686,70.74
33.786,70.74
33.888,71.38
33.99,77.68
34.091,77.68
34.192,72.73
34.293,65.65
34.395,63.35
34.498,63.66
34.598,72.11
34.7,78.69
34.802,78.69
34.905,69.68
35.005,79.72
35.107,65.99
35.21,56.33
35.312,56.33
35.412,71.82
35.514,64.24
35.616,56.04
35.717,72.5
35.818,72.5
35.92,70.45
36.02,72.78
