time,gain
0.024,67.63
0.124,68.49
0.225,67.2
0.325,69.31
0.426,67.44
0.527,68.96
0.627,71.06
0.728,68.94
0.828,71.17
0.929,69.34
1.029,71.32
1.13,71.05
1.23,71.07
1.331,76.18
1.438,77.59
1.538,77.47
1.638,77.08
1.739,77.3
1.839,79.22
1.94,78.17
2.041,76.63
2.141,78
2.242,77.62
2.342,79.25
2.448,76.96
2.548,79.77
2.649,80.27
2.75,80.75
2.85,79.92
2.951,83.44
3.051,79.77
3.152,80.11
3.253,80.01
3.354,80.86
3.455,79.18
3.555,77.76
3.656,78.24
3.757,76.84
3.857,76.48
3.959,75.74
4.06,76.74
4.161,73.09
4.261,72.64
4.362,73.65
4.463,76.28
4.564,74.9
4.665,78.27
4.767,79.21
4.867,77.7
4.968,80.65
5.069,78.87
5.17,76.94
5.271,78.72
5.372,78.51
5.473,76.51
5.573,77.27
5.674,76.45
5.775,74.89
5.877,73.62
5.978,74.83
6.078,74.9
6.18,76.46
6.281,75.32
6.382,74.69
6.482,73.41
6.583,75.38
6.684,83.28
6.784,89.81
6.885,85.61
6.986,75.19
7.086,73.85
7.187,72.26
7.287,75.26
7.387,73.14
7.488,73.99
7.588,75.68
7.689,76.1
7.791,76.1
7.895,58.47
7.996,72.65
8.097,72.65
8.2,73.66
8.301,77.15
8.401,77.15
8.502,69.09
8.603,71.92
8.706,80.05
8.808,80.05
8.908,77.55
9.011,75.14
9.112,84.86
9.213,84.86
9.314,67.69
9.416,63.8
9.518,75.78
9.621,71.96
9.722,71.96
9.823,70.22
9.925,62.16
10.028,53.21
10.129,53.21
10.23,70.01
10.331,61.8
10.433,61.58
10.536,68.63
10.637,68.63
10.74,54.46
10.841,54.46
10.942,72.41
11.043,64.24
11.146,62.48
11.247,54.52
11.349,66
11.45,63.35
11.553,73.65
11.654,74.38
11.755,74.38
11.856,65.9
11.958,64.13
12.06,64.17
12.164,70.8
12.265,74.9
12.366,74.9
12.466,71.27
12.567,71.27
12.667,65.06
12.768,73.27
12.869,73.07
12.97,72.51
13.07,74.73
13.171,73.6
13.271,73.6
13.371,71.63
13.472,65.21
13.572,63.52
13.673,71.48
13.773,70.79
13.874,54.88
13.975,69.44
14.076,69.44
14.178,59.94
14.279,62.03
14.382,69.36
14.483,68.76
14.584,69.98
14.684,69.98
14.785,61.89
14.888,53.79
14.989,74.74
15.09,72.64
15.19,72.64
15.291,62.64
15.391,63.01
15.492,64.4
15.594,73.21
15.695,70.69
15.796,76.87
15.898,73.24
15.999,73.24
16.1,63.99
16.203,57.57
16.304,75.92
16.404,72.24
16.504,72.99
16.605,73.08
16.705,71.88
16.806,71.88
16.907,68.36
17.01,73.08
17.111,73.08
17.212,74.07
17.312,79.24
17.412,73.78
17.513,74.12
17.613,74.94
17.713,71.47
17.814,78.18
17.914,74.77
18.015,74.77
18.116,65.61
18.218,67.25
18.319,66.59
18.42,69.92
18.521,67.68
18.623,66.5
18.724,67.47
18.827,79.2
18.928,75.69
19.028,75.69
19.131,73.44
19.232,71.06
19.333,71.06
19.434,70.69
19.535,65.47
19.637,71.02
19.738,70.75
19.839,70.75
19.94,66.82
20.042,77.49
20.144,77.49
20.245,78.34
20.346,68.45
20.449,62.42
20.551,62.42
20.651,66.49
20.752,66.42
20.855,78.92
20.956,78.92
21.056,74.3
21.158,72.97
21.259,72.05
21.36,78.03
