time,Gain
2025-01-30T13:06:00.000000Z,91.4
2025-01-30T13:06:00.044000Z,88.5
2025-01-30T13:06:00.162000Z,91.0
2025-01-30T13:06:00.255000Z,92.9
2025-01-30T13:06:00.349000Z,89.3
2025-01-30T13:06:00.442000Z,80.6
2025-01-30T13:06:00.559000Z,88.5
2025-01-30T13:06:00.652000Z,72.5
2025-01-30T13:06:00.745000Z,81.0
2025-01-30T13:06:00.862000Z,80.5
2025-01-30T13:06:00.955000Z,76.0
2025-01-30T13:06:01.049000Z,85.1
2025-01-30T13:06:01.142000Z,84.7
2025-01-30T13:06:01.259000Z,82.7
2025-01-30T13:06:01.352000Z,76.1
2025-01-30T13:06:01.445000Z,84.6
2025-01-30T13:06:01.562000Z,76.2
2025-01-30T13:06:01.655000Z,83.0
2025-01-30T13:06:01.749000Z,81.7
2025-01-30T13:06:01.851000Z,69.1
2025-01-30T13:06:01.959000Z,80.4
2025-01-30T13:06:02.052000Z,78.7
2025-01-30T13:06:02.145000Z,75.3
2025-01-30T13:06:02.262000Z,74.9
2025-01-30T13:06:02.355000Z,71.0
2025-01-30T13:06:02.449000Z,77.8
2025-01-30T13:06:02.542000Z,76.1
2025-01-30T13:06:02.659000Z,77.7
2025-01-30T13:06:02.752000Z,70.0
2025-01-30T13:06:02.845000Z,72.1
2025-01-30T13:06:02.961000Z,78.8
2025-01-30T13:06:03.054000Z,83.0
2025-01-30T13:06:03.149000Z,77.3
2025-01-30T13:06:03.242000Z,66.7
2025-01-30T13:06:03.359000Z,81.6
2025-01-30T13:06:03.452000Z,82.3
2025-01-30T13:06:03.545000Z,88.7
2025-01-30T13:06:03.662000Z,75.8
2025-01-30T13:06:03.755000Z,68.5
2025-01-30T13:06:03.849000Z,72.2
2025-01-30T13:06:03.942000Z,94.1
2025-01-30T13:06:04.059000Z,86.5
2025-01-30T13:06:04.152000Z,88.7
2025-01-30T13:06:04.245000Z,96.3
2025-01-30T13:06:04.362000Z,83.0
2025-01-30T13:06:04.455000Z,91.6
2025-01-30T13:06:04.549000Z,94.1
2025-01-30T13:06:04.642000Z,92.5
2025-01-30T13:06:04.759000Z,94.5
2025-01-30T13:06:04.852000Z,82.5
2025-01-30T13:06:04.945000Z,96.6
2025-01-30T13:06:05.062000Z,89.8
2025-01-30T13:06:05.155000Z,83.9
2025-01-30T13:06:05.249000Z,80.5
2025-01-30T13:06:05.342000Z,92.3
2025-01-30T13:06:05.459000Z,92.0
2025-01-30T13:06:05.552000Z,92.7
2025-01-30T13:06:05.645000Z,95.1
2025-01-30T13:06:05.762000Z,94.9
2025-01-30T13:06:05.855000Z,91.1
2025-01-30T13:06:05.948000Z,94.3
2025-01-30T13:06:06.041000Z,87.9
2025-01-30T13:06:06.159000Z,81.0
2025-01-30T13:06:06.252000Z,90.3
2025-01-30T13:06:06.345000Z,89.1
2025-01-30T13:06:06.462000Z,81.0
2025-01-30T13:06:06.555000Z,85.9
2025-01-30T13:06:06.648000Z,75.1
2025-01-30T13:06:06.741000Z,87.9
2025-01-30T13:06:06.859000Z,86.8
2025-01-30T13:06:06.951000Z,78.9
2025-01-30T13:06:07.045000Z,78.6
2025-01-30T13:06:07.162000Z,84.9
2025-01-30T13:06:07.255000Z,79.6
2025-01-30T13:06:07.348000Z,80.8
2025-01-30T13:06:07.441000Z,82.9
2025-01-30T13:06:07.559000Z,86.6
2025-01-30T13:06:07.651000Z,80.3
2025-01-30T13:06:07.744000Z,81.5
2025-01-30T13:06:07.862000Z,80.9
2025-01-30T13:06:07.954000Z,87.6
2025-01-30T13:06:08.048000Z,73.7
2025-01-30T13:06:08.140000Z,80.8
2025-01-30T13:06:08.257000Z,80.4
2025-01-30T13:06:08.351000Z,79.5
2025-01-30T13:06:08.444000Z,91.5
2025-01-30T13:06:08.562000Z,93.3
