time,Gain
2025-01-29T13:01:32.472Z,58.5
2025-01-29T13:01:32.589Z,62.3
2025-01-29T13:01:32.682Z,58.2
2025-01-29T13:01:32.774Z,59.5
2025-01-29T13:01:32.867Z,57.4
2025-01-29T13:01:32.983Z,58.5
2025-01-29T13:01:33.078Z,57.7
2025-01-29T13:01:33.171Z,60.1
2025-01-29T13:01:33.288Z,57.3
2025-01-29T13:01:33.381Z,57.5
2025-01-29T13:01:33.475Z,59.2
2025-01-29T13:01:33.568Z,57.1
2025-01-29T13:01:33.684Z,56.1
2025-01-29T13:01:33.778Z,56.6
2025-01-29T13:01:33.872Z,58.0
2025-01-29T13:01:33.988Z,62.1
2025-01-29T13:01:34.082Z,63.9
2025-01-29T13:01:34.173Z,61.4
2025-01-29T13:01:34.268Z,58.1
2025-01-29T13:01:34.384Z,60.1
2025-01-29T13:01:34.477Z,60.4
2025-01-29T13:01:34.570Z,58.0
2025-01-29T13:01:34.688Z,59.4
2025-01-29T13:01:34.782Z,57.7
2025-01-29T13:01:34.875Z,61.8
2025-01-29T13:01:34.968Z,56.1
2025-01-29T13:01:35.085Z,57.3
2025-01-29T13:01:35.177Z,60.1
2025-01-29T13:01:35.272Z,58.4
2025-01-29T13:01:35.388Z,56.0
2025-01-29T13:01:35.482Z,61.4
2025-01-29T13:01:35.575Z,63.0
2025-01-29T13:01:35.668Z,62.5
2025-01-29T13:01:35.785Z,62.4
2025-01-29T13:01:35.877Z,60.8
2025-01-29T13:01:35.972Z,61.1
2025-01-29T13:01:36.088Z,57.9
2025-01-29T13:01:36.182Z,63.7
2025-01-29T13:01:36.275Z,59.4
2025-01-29T13:01:36.368Z,56.3
2025-01-29T13:01:36.485Z,55.4
2025-01-29T13:01:36.579Z,55.9
2025-01-29T13:01:36.672Z,64.3
2025-01-29T13:01:36.788Z,60.8
2025-01-29T13:01:36.882Z,62.2
2025-01-29T13:01:36.974Z,64.6
2025-01-29T13:01:37.067Z,68.2
2025-01-29T13:01:37.185Z,68.5
2025-01-29T13:01:37.277Z,66.4
2025-01-29T13:01:37.372Z,67.5
2025-01-29T13:01:37.488Z,62.3
2025-01-29T13:01:37.582Z,63.6
2025-01-29T13:01:37.675Z,67.9
2025-01-29T13:01:37.768Z,64.8
2025-01-29T13:01:37.885Z,69.6
2025-01-29T13:01:37.977Z,61.4
2025-01-29T13:01:38.072Z,60.6
2025-01-29T13:01:38.189Z,61.4
2025-01-29T13:01:38.281Z,68.3
2025-01-29T13:01:38.374Z,66.0
2025-01-29T13:01:38.467Z,67.8
2025-01-29T13:01:38.585Z,68.9
2025-01-29T13:01:38.678Z,66.9
2025-01-29T13:01:38.771Z,67.0
2025-01-29T13:01:38.888Z,67.8
