time,Gain
2025-01-31T13:10:02.483Z,62.1
2025-01-31T13:10:02.576Z,59.6
2025-01-31T13:10:02.670Z,57.6
2025-01-31T13:10:02.764Z,66.8
2025-01-31T13:10:02.881Z,56.5
2025-01-31T13:10:02.973Z,57.3
2025-01-31T13:10:03.067Z,60.3
2025-01-31T13:10:03.185Z,59.3
2025-01-31T13:10:03.277Z,59.2
2025-01-31T13:10:03.370Z,61.3
2025-01-31T13:10:03.464Z,61.3
2025-01-31T13:10:03.581Z,62.5
2025-01-31T13:10:03.674Z,59.8
2025-01-31T13:10:03.767Z,61.4
2025-01-31T13:10:03.885Z,60.9
2025-01-31T13:10:03.977Z,58.7
2025-01-31T13:10:04.070Z,59.6
2025-01-31T13:10:04.163Z,61.7
2025-01-31T13:10:04.280Z,59.8
2025-01-31T13:10:04.373Z,58.9
2025-01-31T13:10:04.466Z,58.2
2025-01-31T13:10:04.584Z,58.4
2025-01-31T13:10:04.677Z,60.9
2025-01-31T13:10:04.770Z,62.7
2025-01-31T13:10:04.863Z,64.1
2025-01-31T13:10:04.980Z,62.7
2025-01-31T13:10:05.073Z,64.4
2025-01-31T13:10:05.167Z,61.7
2025-01-31T13:10:05.284Z,60.4
2025-01-31T13:10:05.377Z,59.2
2025-01-31T13:10:05.470Z,63.0
2025-01-31T13:10:05.563Z,61.8
2025-01-31T13:10:05.681Z,61.2
2025-01-31T13:10:05.774Z,58.7
2025-01-31T13:10:05.867Z,59.8
2025-01-31T13:10:05.984Z,60.1
2025-01-31T13:10:06.077Z,63.8
2025-01-31T13:10:06.170Z,62.3
2025-01-31T13:10:06.263Z,60.1
2025-01-31T13:10:06.380Z,60.7
2025-01-31T13:10:06.473Z,63.9
2025-01-31T13:10:06.567Z,61.7
2025-01-31T13:10:06.684Z,57.4
2025-01-31T13:10:06.777Z,64.0
2025-01-31T13:10:06.870Z,58.3
2025-01-31T13:10:06.963Z,61.4
2025-01-31T13:10:07.080Z,62.2
2025-01-31T13:10:07.173Z,59.9
2025-01-31T13:10:07.266Z,62.1
2025-01-31T13:10:07.383Z,60.7
2025-01-31T13:10:07.476Z,59.1
2025-01-31T13:10:07.570Z,62.5
2025-01-31T13:10:07.663Z,64.0
2025-01-31T13:10:07.780Z,57.9
2025-01-31T13:10:07.873Z,58.9
2025-01-31T13:10:07.966Z,61.4
2025-01-31T13:10:08.083Z,60.2
2025-01-31T13:10:08.176Z,58.8
2025-01-31T13:10:08.270Z,61.7
2025-01-31T13:10:08.363Z,62.0
2025-01-31T13:10:08.480Z,57.4
2025-01-31T13:10:08.573Z,58.9
2025-01-31T13:10:08.666Z,58.2
2025-01-31T13:10:08.783Z,58.8
2025-01-31T13:10:08.876Z,63.7
2025-01-31T13:10:08.970Z,62.1
2025-01-31T13:10:09.063Z,62.1
2025-01-31T13:10:09.180Z,62.9
2025-01-31T13:10:09.273Z,68.2
2025-01-31T13:10:09.366Z,66.8
2025-01-31T13:10:09.483Z,64.6
2025-01-31T13:10:09.576Z,68.2
2025-01-31T13:10:09.669Z,61.0
2025-01-31T13:10:09.763Z,64.7
2025-01-31T13:10:09.880Z,63.1
2025-01-31T13:10:09.973Z,63.2
2025-01-31T13:10:10.066Z,67.2
2025-01-31T13:10:10.183Z,61.8
2025-01-31T13:10:10.276Z,62.7
2025-01-31T13:10:10.369Z,61.9
2025-01-31T13:10:10.463Z,63.0
2025-01-31T13:10:10.579Z,61.7
2025-01-31T13:10:10.673Z,65.5
2025-01-31T13:10:10.766Z,68.6
2025-01-31T13:10:10.883Z,70.7
2025-01-31T13:10:10.976Z,64.2
2025-01-31T13:10:11.069Z,63.2
2025-01-31T13:10:11.163Z,66.8
2025-01-31T13:10:11.280Z,65.0
2025-01-31T13:10:11.373Z,71.8
2025-01-31T13:10:11.466Z,65.5
2025-01-31T13:10:11.583Z,65.5
2025-01-31T13:10:11.676Z,68.1
2025-01-31T13:10:11.769Z,68.7
2025-01-31T13:10:11.863Z,64.8
2025-01-31T13:10:11.979Z,68.0
2025-01-31T13:10:12.073Z,67.7
2025-01-31T13:10:12.166Z,63.9
2025-01-31T13:10:12.283Z,67.7
2025-01-31T13:10:12.376Z,70.1
2025-01-31T13:10:12.469Z,69.3
2025-01-31T13:10:12.563Z,67.0
2025-01-31T13:10:12.679Z,62.4
2025-01-31T13:10:12.773Z,70.0
2025-01-31T13:10:12.866Z,66.5
2025-01-31T13:10:12.983Z,64.8
2025-01-31T13:10:13.076Z,67.5
2025-01-31T13:10:13.169Z,60.3
2025-01-31T13:10:13.263Z,66.3
2025-01-31T13:10:13.379Z,64.6
2025-01-31T13:10:13.473Z,64.2
2025-01-31T13:10:13.566Z,67.3
2025-01-31T13:10:13.683Z,67.8
2025-01-31T13:10:13.776Z,69.3
2025-01-31T13:10:13.869Z,67.2
2025-01-31T13:10:13.963Z,69.5
2025-01-31T13:10:14.079Z,67.3
2025-01-31T13:10:14.173Z,68.2
2025-01-31T13:10:14.266Z,71.6
2025-01-31T13:10:14.383Z,68.2
2025-01-31T13:10:14.476Z,67.4
2025-01-31T13:10:14.569Z,65.1
2025-01-31T13:10:14.663Z,67.6
2025-01-31T13:10:14.779Z,65.7
2025-01-31T13:10:14.873Z,68.0
2025-01-31T13:10:14.966Z,68.8
2025-01-31T13:10:15.083Z,71.3
