time,Gain
2025-02-02T13:03:00.586Z,62.4
2025-02-02T13:03:00.679Z,59.3
2025-02-02T13:03:00.773Z,58.7
2025-02-02T13:03:00.867Z,66.7
2025-02-02T13:03:00.984Z,57.7
2025-02-02T13:03:01.076Z,57.2
2025-02-02T13:03:01.170Z,60.1
2025-02-02T13:03:01.288Z,59.0
2025-02-02T13:03:01.380Z,59.1
2025-02-02T13:03:01.473Z,61.4
2025-02-02T13:03:01.567Z,62.2
2025-02-02T13:03:01.684Z,62.3
2025-02-02T13:03:01.777Z,59.6
2025-02-02T13:03:01.870Z,62.7
2025-02-02T13:03:01.988Z,60.7
2025-02-02T13:03:02.080Z,58.8
2025-02-02T13:03:02.173Z,60.8
2025-02-02T13:03:02.266Z,61.4
2025-02-02T13:03:02.383Z,60.0
2025-02-02T13:03:02.476Z,58.7
2025-02-02T13:03:02.569Z,58.1
2025-02-02T13:03:02.687Z,58.6
2025-02-02T13:03:02.780Z,60.7
2025-02-02T13:03:02.873Z,63.0
2025-02-02T13:03:02.966Z,64.3
2025-02-02T13:03:03.083Z,62.4
2025-02-02T13:03:03.176Z,64.3
2025-02-02T13:03:03.270Z,61.4
2025-02-02T13:03:03.387Z,60.7
2025-02-02T13:03:03.480Z,59.0
2025-02-02T13:03:03.573Z,62.8
2025-02-02T13:03:03.666Z,61.5
2025-02-02T13:03:03.784Z,61.3
2025-02-02T13:03:03.877Z,58.8
2025-02-02T13:03:03.970Z,60.9
2025-02-02T13:03:04.087Z,60.2
2025-02-02T13:03:04.180Z,65.0
2025-02-02T13:03:04.273Z,62.5
2025-02-02T13:03:04.366Z,59.8
2025-02-02T13:03:04.483Z,60.8
2025-02-02T13:03:04.576Z,64.0
2025-02-02T13:03:04.670Z,61.6
2025-02-02T13:03:04.787Z,58.3
2025-02-02T13:03:04.880Z,64.1
2025-02-02T13:03:04.973Z,59.6
2025-02-02T13:03:05.066Z,61.3
2025-02-02T13:03:05.183Z,62.5
2025-02-02T13:03:05.276Z,61.1
2025-02-02T13:03:05.369Z,63.0
2025-02-02T13:03:05.486Z,61.0
2025-02-02T13:03:05.579Z,58.9
2025-02-02T13:03:05.673Z,62.8
2025-02-02T13:03:05.766Z,63.9
2025-02-02T13:03:05.883Z,58.6
2025-02-02T13:03:05.976Z,59.0
2025-02-02T13:03:06.069Z,61.6
2025-02-02T13:03:06.186Z,60.4
2025-02-02T13:03:06.279Z,60.0
2025-02-02T13:03:06.373Z,61.4
2025-02-02T13:03:06.466Z,62.8
2025-02-02T13:03:06.583Z,57.3
2025-02-02T13:03:06.676Z,58.6
2025-02-02T13:03:06.769Z,58.5
2025-02-02T13:03:06.886Z,58.7
2025-02-02T13:03:06.979Z,63.8
2025-02-02T13:03:07.073Z,61.8
2025-02-02T13:03:07.166Z,61.8
2025-02-02T13:03:07.283Z,63.1
2025-02-02T13:03:07.376Z,68.3
2025-02-02T13:03:07.469Z,66.7
2025-02-02T13:03:07.586Z,64.7
2025-02-02T13:03:07.679Z,68.3
2025-02-02T13:03:07.772Z,61.2
2025-02-02T13:03:07.866Z,65.0
2025-02-02T13:03:07.983Z,64.0
2025-02-02T13:03:08.076Z,63.1
2025-02-02T13:03:08.169Z,66.9
2025-02-02T13:03:08.286Z,62.0
2025-02-02T13:03:08.379Z,62.6
2025-02-02T13:03:08.472Z,62.8
2025-02-02T13:03:08.566Z,63.7
2025-02-02T13:03:08.682Z,62.6
2025-02-02T13:03:08.776Z,65.8
2025-02-02T13:03:08.869Z,68.9
2025-02-02T13:03:08.986Z,70.9
2025-02-02T13:03:09.079Z,64.1
2025-02-02T13:03:09.172Z,63.1
2025-02-02T13:03:09.266Z,66.9
2025-02-02T13:03:09.383Z,66.3
2025-02-02T13:03:09.476Z,72.5
2025-02-02T13:03:09.569Z,65.3
2025-02-02T13:03:09.686Z,65.3
2025-02-02T13:03:09.779Z,67.8
2025-02-02T13:03:09.872Z,68.6
2025-02-02T13:03:09.966Z,65.0
2025-02-02T13:03:10.082Z,68.1
2025-02-02T13:03:10.176Z,68.0
2025-02-02T13:03:10.269Z,63.8
2025-02-02T13:03:10.386Z,67.5
2025-02-02T13:03:10.479Z,70.2
2025-02-02T13:03:10.572Z,70.1
2025-02-02T13:03:10.666Z,67.7
2025-02-02T13:03:10.782Z,62.2
2025-02-02T13:03:10.876Z,69.7
2025-02-02T13:03:10.969Z,66.2
2025-02-02T13:03:11.086Z,64.7
2025-02-02T13:03:11.179Z,67.8
2025-02-02T13:03:11.272Z,60.2
2025-02-02T13:03:11.366Z,66.1
2025-02-02T13:03:11.482Z,64.8
2025-02-02T13:03:11.576Z,64.0
2025-02-02T13:03:11.669Z,68.2
2025-02-02T13:03:11.786Z,67.7
2025-02-02T13:03:11.879Z,69.2
2025-02-02T13:03:11.972Z,68.3
2025-02-02T13:03:12.066Z,69.4
2025-02-02T13:03:12.182Z,67.0
2025-02-02T13:03:12.276Z,69.1
2025-02-02T13:03:12.369Z,71.7
2025-02-02T13:03:12.486Z,67.9
2025-02-02T13:03:12.579Z,68.6
2025-02-02T13:03:12.672Z,65.2
2025-02-02T13:03:12.766Z,67.9
2025-02-02T13:03:12.882Z,65.9
2025-02-02T13:03:12.976Z,68.1
2025-02-02T13:03:13.069Z,68.7
2025-02-02T13:03:13.186Z,71.0
2025-02-02T13:03:13.279Z,72.8
2025-02-02T13:03:13.372Z,67.7
2025-02-02T13:03:13.466Z,71.5
2025-02-02T13:03:13.582Z,69.4
2025-02-02T13:03:13.676Z,69.2
2025-02-02T13:03:13.769Z,68.6
2025-02-02T13:03:13.886Z,67.7
2025-02-02T13:03:13.979Z,67.9
2025-02-02T13:03:14.072Z,65.9
2025-02-02T13:03:14.166Z,71.5
2025-02-02T13:03:14.282Z,66.9
2025-02-02T13:03:14.376Z,66.5
2025-02-02T13:03:14.469Z,64.3
2025-02-02T13:03:14.586Z,66.8
2025-02-02T13:03:14.679Z,67.6
2025-02-02T13:03:14.772Z,69.8
2025-02-02T13:03:14.866Z,69.6
2025-02-02T13:03:14.983Z,70.1
2025-02-02T13:03:15.076Z,70.0
2025-02-02T13:03:15.169Z,71.0
2025-02-02T13:03:15.286Z,71.9
2025-02-02T13:03:15.379Z,69.3
2025-02-02T13:03:15.472Z,64.7
2025-02-02T13:03:15.566Z,66.6
2025-02-02T13:03:15.683Z,71.3
2025-02-02T13:03:15.776Z,70.8
2025-02-02T13:03:15.869Z,67.9
2025-02-02T13:03:15.986Z,66.0
