time,Gain
2025-01-30T08:45:00.094Z,61.0
2025-01-30T08:45:00.187Z,60.2
2025-01-30T08:45:00.281Z,58.9
2025-01-30T08:45:00.375Z,65.5
2025-01-30T08:45:00.492Z,57.0
2025-01-30T08:45:00.584Z,57.8
2025-01-30T08:45:00.678Z,61.2
2025-01-30T08:45:00.796Z,60.4
2025-01-30T08:45:00.888Z,60.4
2025-01-30T08:45:00.981Z,60.3
2025-01-30T08:45:01.075Z,62.5
2025-01-30T08:45:01.192Z,61.6
2025-01-30T08:45:01.285Z,61.3
2025-01-30T08:45:01.378Z,62.7
2025-01-30T08:45:01.496Z,59.5
2025-01-30T08:45:01.588Z,59.6
2025-01-30T08:45:01.681Z,60.2
2025-01-30T08:45:01.774Z,62.8
2025-01-30T08:45:01.891Z,60.6
2025-01-30T08:45:01.984Z,57.6
2025-01-30T08:45:02.077Z,56.9
2025-01-30T08:45:02.195Z,59.5
2025-01-30T08:45:02.288Z,61.6
2025-01-30T08:45:02.381Z,61.5
2025-01-30T08:45:02.474Z,63.0
2025-01-30T08:45:02.591Z,63.6
2025-01-30T08:45:02.684Z,63.7
2025-01-30T08:45:02.778Z,62.3
2025-01-30T08:45:02.895Z,59.3
2025-01-30T08:45:02.988Z,58.1
2025-01-30T08:45:03.081Z,61.5
2025-01-30T08:45:03.174Z,60.8
2025-01-30T08:45:03.292Z,61.9
2025-01-30T08:45:03.385Z,57.6
2025-01-30T08:45:03.478Z,60.6
2025-01-30T08:45:03.595Z,59.0
2025-01-30T08:45:03.688Z,64.9
2025-01-30T08:45:03.781Z,63.4
2025-01-30T08:45:03.874Z,59.5
2025-01-30T08:45:03.991Z,59.8
2025-01-30T08:45:04.084Z,65.0
2025-01-30T08:45:04.178Z,60.4
2025-01-30T08:45:04.295Z,58.4
2025-01-30T08:45:04.388Z,63.3
2025-01-30T08:45:04.481Z,59.4
2025-01-30T08:45:04.574Z,62.3
2025-01-30T08:45:04.691Z,63.5
2025-01-30T08:45:04.784Z,60.4
2025-01-30T08:45:04.877Z,60.8
2025-01-30T08:45:04.994Z,59.4
2025-01-30T08:45:05.087Z,60.0
2025-01-30T08:45:05.181Z,63.4
2025-01-30T08:45:05.274Z,63.2
2025-01-30T08:45:05.391Z,58.6
2025-01-30T08:45:05.484Z,58.3
2025-01-30T08:45:05.577Z,60.5
2025-01-30T08:45:05.694Z,58.7
2025-01-30T08:45:05.787Z,58.1
2025-01-30T08:45:05.881Z,62.7
2025-01-30T08:45:05.974Z,62.6
2025-01-30T08:45:06.091Z,56.8
2025-01-30T08:45:06.184Z,60.0
2025-01-30T08:45:06.277Z,57.3
2025-01-30T08:45:06.394Z,59.8
2025-01-30T08:45:06.487Z,63.0
2025-01-30T08:45:06.581Z,61.0
2025-01-30T08:45:06.674Z,60.6
2025-01-30T08:45:06.791Z,64.2
2025-01-30T08:45:06.884Z,66.9
2025-01-30T08:45:06.977Z,66.2
2025-01-30T08:45:07.094Z,65.4
2025-01-30T08:45:07.187Z,69.1
2025-01-30T08:45:07.280Z,62.3
2025-01-30T08:45:07.374Z,65.8
2025-01-30T08:45:07.491Z,62.4
2025-01-30T08:45:07.584Z,62.0
2025-01-30T08:45:07.677Z,65.8
2025-01-30T08:45:07.794Z,62.8
2025-01-30T08:45:07.887Z,64.0
2025-01-30T08:45:07.980Z,60.9
2025-01-30T08:45:08.074Z,62.0
2025-01-30T08:45:08.190Z,62.5
2025-01-30T08:45:08.284Z,64.0
2025-01-30T08:45:08.377Z,69.6
2025-01-30T08:45:08.494Z,71.9
2025-01-30T08:45:08.587Z,63.4
2025-01-30T08:45:08.680Z,64.3
2025-01-30T08:45:08.774Z,65.5
2025-01-30T08:45:08.891Z,66.0
2025-01-30T08:45:08.984Z,73.2
2025-01-30T08:45:09.077Z,64.4
2025-01-30T08:45:09.194Z,64.8
2025-01-30T08:45:09.287Z,69.2
2025-01-30T08:45:09.380Z,67.7
2025-01-30T08:45:09.474Z,66.1
2025-01-30T08:45:09.590Z,66.7
2025-01-30T08:45:09.684Z,66.6
2025-01-30T08:45:09.777Z,63.0
2025-01-30T08:45:09.894Z,68.8
