time,gain
0.017,68.39
0.118,61.69
0.218,61.82
0.319,59.63
0.419,57.84
0.520,58.35
0.621,58.25
0.722,67.29
0.823,68.84
0.924,67.95
1.025,67.26
1.126,67.50
1.226,67.37
1.327,68.88
1.428,68.91
1.529,68.57
1.629,72.03
1.731,69.81
1.832,67.17
1.933,66.87
2.033,68.62
2.134,70.27
2.235,71.13
2.336,70.17
2.437,69.08
2.537,69.60
2.638,67.72
2.739,68.74
2.840,68.98
2.940,69.47
3.041,68.09
3.142,70.21
3.242,69.26
3.343,70.27
3.444,69.55
3.545,71.14
3.646,72.07
3.746,70.26
3.847,74.69
3.948,70.93
4.051,69.61
4.152,70.34
4.253,69.09
4.354,67.42
4.456,69.12
4.557,69.74
4.657,70.47
4.758,69.05
4.859,74.47
4.960,70.14
5.062,73.58
5.165,71.12
5.267,70.06
5.368,68.85
5.469,69.07
5.569,69.57
5.670,69.85
5.771,70.03
5.873,70.57
5.974,68.69
6.075,70.57
6.175,68.50
6.276,70.00
6.377,69.66
6.477,69.52
6.578,69.53
6.678,70.04
6.780,71.41
6.881,71.69
6.982,72.01
7.082,71.91
7.183,69.92
7.283,68.03
7.384,68.98
7.485,68.44
7.586,68.89
7.687,68.98
7.789,69.13
7.889,69.24
7.990,69.99
8.091,70.52
8.192,71.33
8.293,69.69
8.393,70.38
8.496,69.57
8.596,68.93
8.700,70.43
8.800,70.30
8.901,70.60
9.001,68.39
9.102,69.19
9.203,68.66
9.303,68.81
9.404,69.92
9.505,69.42
9.606,71.27
9.706,70.42
9.806,70.65
9.907,69.54
10.008,69.23
10.110,70.18
10.214,69.02
10.315,69.47
10.415,69.92
10.516,72.26
10.616,72.19
10.719,69.13
10.819,69.03
10.920,70.67
11.020,70.78
11.121,67.80
11.221,69.20
11.322,69.86
11.422,71.71
11.523,71.30
11.623,71.11
11.724,71.45
11.825,70.81
11.926,69.44
12.027,70.30
12.127,69.19
12.228,69.84
12.329,70.17
12.429,69.92
12.530,70.32
12.630,71.27
12.731,70.35
12.832,70.59
12.933,71.00
13.034,70.77
13.135,72.34
13.235,71.32
13.336,70.71
13.437,68.96
13.538,71.32
13.639,72.30
13.740,71.97
13.840,75.07
13.941,75.98
14.041,73.47
14.142,76.25
14.243,75.84
14.343,73.85
14.445,71.27
14.546,72.97
14.647,73.24
14.748,75.23
14.849,74.43
14.950,73.93
15.051,72.22
15.152,72.47
15.253,72.92
15.353,71.57
15.454,72.90
15.555,76.23
15.656,74.24
15.756,73.22
15.858,72.49
15.960,73.00
16.061,72.22
16.162,70.26
16.264,71.32
16.366,71.69
16.467,71.26
16.568,69.73
16.670,68.82
16.771,68.95
16.873,72.11
16.974,64.64
17.075,61.69
17.176,61.02
17.278,62.91
17.380,61.44
17.481,61.47
17.582,61.06
17.684,61.78
17.787,71.19
17.889,66.23
17.991,64.73
18.091,63.68
18.193,68.94
18.294,71.50
18.396,72.09
18.497,72.09
18.599,62.85
18.702,68.18
18.803,60.53
18.905,61.39
19.007,61.62
19.107,67.37
19.208,67.37
19.309,67.96
19.413,53.18
19.514,69.65
19.614,69.65
19.716,53.09
19.818,61.15
19.921,69.10
20.022,69.10
20.122,69.73
20.224,68.60
20.327,52.68
20.428,69.89
20.529,69.89
20.631,59.43
20.734,52.72
20.835,70.47
20.936,69.59
21.037,69.59
21.138,60.09
21.241,60.38
21.343,61.41
21.446,67.77
21.546,67.77
21.648,62.47
21.750,60.45
21.853,67.26
21.954,67.26
22.055,67.85
22.157,67.88
22.258,63.31
22.358,60.01
22.462,66.47
22.563,67.79
22.665,69.76
22.765,69.76
22.866,60.38
22.970,53.59
23.071,72.27
23.173,71.93
23.275,71.93
23.378,65.65
23.479,68.97
23.580,63.30
23.682,61.75
23.784,60.84
23.887,54.54
23.989,54.54
24.089,71.95
24.191,61.35
24.293,72.20
24.396,73.94
24.497,73.94
24.600,56.70
24.702,72.17
24.803,72.17
24.904,61.09
25.007,52.02
25.109,69.67
25.211,69.67
25.314,70.53
25.415,68.96
25.516,68.96
25.617,60.50
25.719,61.60
25.822,70.66
25.922,70.66
26.024,64.86
26.125,63.81
26.228,71.75
26.329,71.54
26.430,71.54
26.531,62.32
26.633,62.28
26.734,71.18
26.834,70.15
26.934,69.14
27.038,70.47
27.138,70.76
27.238,70.76
27.341,70.65
27.441,71.69
27.542,72.27
27.642,70.68
27.743,70.68
27.844,62.13
27.947,72.08
28.048,62.04
28.148,71.33
28.250,71.33
28.352,71.75
28.454,65.54
28.556,63.83
28.658,69.64
28.759,69.64
28.860,61.73
28.963,55.04
29.065,55.04
29.166,70.06
29.267,62.88
29.370,61.31
29.471,61.31
29.573,70.00
29.676,54.50
29.777,72.46
29.877,71.41
29.978,71.41
30.080,64.43
30.182,64.28
