time,gain
0.031,70.65
0.131,72.45
0.231,72.91
0.332,70.62
0.432,72.41
0.533,73.30
0.633,72.05
0.734,70.47
0.834,70.25
0.936,70.86
1.038,71.84
1.139,70.62
1.239,73.45
1.340,72.82
1.440,71.20
1.546,70.39
1.646,71.26
1.747,70.66
1.847,71.08
1.948,73.28
2.048,72.16
2.149,72.89
2.249,72.55
2.350,73.03
2.450,71.66
2.551,72.59
2.651,71.05
2.752,69.85
2.852,70.41
2.953,70.67
3.053,68.39
3.154,70.22
3.254,69.28
3.355,70.06
3.457,70.89
3.559,69.59
3.660,69.59
3.762,70.13
3.863,69.51
3.966,68.63
4.066,69.64
4.167,70.66
4.268,70.42
4.370,67.53
4.472,68.81
4.573,70.78
4.675,70.63
4.777,70.63
4.879,70.31
4.981,71.35
5.082,69.89
5.183,62.73
5.285,61.74
5.386,60.70
5.488,61.34
5.588,62.09
5.689,61.80
5.791,71.59
5.892,71.37
5.994,71.76
6.098,71.91
6.200,70.77
6.302,72.84
6.404,64.44
6.506,62.73
6.608,62.14
6.710,62.06
6.812,70.41
6.913,70.41
7.014,70.03
7.116,70.56
7.218,69.66
7.319,68.99
7.419,68.99
7.521,60.54
7.621,62.49
7.722,62.44
7.823,62.27
7.923,62.68
8.025,68.74
8.126,52.82
8.226,52.82
8.327,62.99
8.428,74.15
8.529,74.15
8.633,65.20
8.734,64.88
8.834,64.88
8.937,65.55
9.037,62.39
9.138,62.39
9.238,57.30
9.339,63.58
9.440,55.16
9.544,49.88
9.645,69.28
9.746,69.28
9.849,67.93
9.950,67.93
10.050,68.45
10.152,68.45
10.254,60.92
10.356,59.65
10.460,68.31
10.560,68.31
10.662,61.98
10.764,63.38
10.865,60.47
10.967,59.95
11.070,59.95
11.171,59.86
11.272,58.63
11.374,58.40
11.476,58.39
11.579,51.26
11.681,51.26
11.782,67.49
11.884,68.75
11.985,68.75
12.086,68.98
12.188,58.18
12.289,58.16
12.391,57.76
12.494,58.07
12.596,65.66
12.699,65.63
12.800,65.63
12.901,64.51
13.002,57.87
13.103,55.49
13.206,67.44
13.309,65.88
13.410,65.88
13.510,69.27
13.613,67.17
13.714,67.17
13.815,66.55
13.916,56.85
14.020,50.49
14.120,67.23
14.223,70.21
14.324,67.59
14.425,67.59
14.526,64.97
14.629,51.29
14.731,51.29
14.832,68.18
14.936,52.09
15.037,52.09
15.138,66.27
15.240,71.66
15.341,81.31
15.442,81.31
15.543,76.43
15.645,65.00
15.747,64.67
15.850,56.93
15.952,56.93
16.054,65.84
16.156,52.46
16.258,64.98
16.360,64.98
16.463,56.04
16.564,61.03
16.666,54.19
16.767,64.49
16.870,55.44
16.971,59.54
17.074,49.48
17.176,49.48
17.276,66.46
17.378,57.87
17.481,48.88
17.583,48.88
17.683,65.87
17.785,57.67
17.888,48.89
17.989,48.89
18.090,68.09
18.192,59.26
18.294,57.23
18.396,57.58
18.499,48.00
18.601,48.00
18.702,64.94
18.804,64.94
18.907,55.75
19.008,65.17
19.108,56.25
19.210,55.69
19.312,55.32
19.413,56.62
19.516,48.42
19.618,48.42
19.718,64.84
19.819,64.84
19.920,58.69
20.023,49.31
20.125,49.31
20.226,66.02
20.327,58.31
20.428,66.95
20.530,66.95
20.631,58.44
20.735,67.33
20.836,67.33
20.937,64.23
21.039,70.19
21.141,70.19
21.241,65.64
21.342,66.42
21.444,61.83
21.547,61.83
21.648,66.59
21.750,65.93
21.852,65.93
21.952,73.40
22.052,73.40
22.153,59.94
22.255,58.70
22.357,57.36
22.460,59.63
22.565,64.52
22.666,67.02
22.766,65.02
22.867,66.09
22.967,65.85
23.068,65.85
23.170,64.04
23.271,64.04
23.372,54.93
23.475,65.49
23.577,65.49
23.677,64.91
23.780,63.65
23.881,63.22
23.982,63.22
24.083,55.43
24.184,56.01
24.285,55.77
24.386,54.22
24.489,50.17
24.591,50.17
24.692,57.82
24.795,64.76
24.897,64.76
24.997,65.54
25.099,55.20
25.199,54.53
25.301,64.92
25.403,57.68
25.506,57.03
25.607,63.54
25.708,55.52
25.811,48.09
25.913,48.09
26.014,69.45
26.115,57.04
26.215,56.51
26.318,57.68
26.420,57.68
26.522,56.41
26.623,56.80
26.726,58.31
26.827,64.28
26.929,55.54
27.032,63.34
27.133,63.34
27.234,65.00
27.334,65.00
27.437,63.47
27.538,63.47
27.639,57.79
27.740,58.46
27.842,55.04
27.945,55.13
28.046,67.42
28.147,57.24
28.249,57.40
28.352,56.56
28.455,48.05
28.556,48.05
28.657,65.07
28.757,64.95
28.859,63.64
28.961,63.64
29.061,63.84
29.163,56.60
29.263,55.40
29.365,56.39
29.467,56.97
29.569,56.99
29.671,48.90
29.773,48.90
29.874,65.42
29.975,57.34
30.078,56.78
30.180,54.34
30.281,48.96
30.383,48.96
30.486,57.80
30.586,64.55
30.688,58.67
30.791,63.14
30.893,63.14
30.993,63.54
31.095,57.64
31.196,56.07
31.298,56.07
31.400,55.59
31.502,57.67
31.603,64.84
31.705,57.91
31.808,63.67
31.909,63.67
32.011,57.20
32.111,57.25
32.212,64.32
32.315,59.14
32.417,50.32
32.518,65.08
32.619,65.08
32.720,64.36
32.822,57.52
32.925,49.32
33.026,49.32
33.127,66.68
33.228,64.77
33.330,64.77
33.431,57.47
33.535,50.29
33.636,50.29
33.737,67.56
33.838,49.27
33.942,56.52
34.043,56.52
34.144,69.78
34.244,65.35
34.348,67.61
34.449,68.30
34.550,66.43
34.651,66.43
34.752,57.65
34.855,63.79
34.957,63.79
35.057,65.97
35.159,57.83
35.260,58.37
35.362,58.18
35.464,65.00
35.567,57.21
35.669,66.24
35.772,50.32
35.873,50.32
35.974,67.83
36.075,57.87
36.178,49.97
36.279,49.97
36.381,61.83
36.484,50.38
36.585,50.38
36.686,68.88
36.787,57.98
36.889,58.26
36.991,57.67
37.094,49.19
37.196,49.19
37.297,68.91
37.398,59.59
37.500,58.30
37.602,59.83
37.704,58.45
37.806,66.14
37.906,65.86
38.006,67.75
38.106,67.36
38.207,67.51
38.307,67.34
38.407,67.34
38.508,67.79
38.610,66.57
38.710,66.17
38.811,66.82
38.911,66.66
39.012,69.09
39.113,65.43
39.214,65.43
39.316,58.42
39.418,58.79
39.520,58.22
39.621,67.95
39.725,68.01
39.825,68.01
39.927,58.08
40.029,59.79
40.132,61.23
40.232,68.45
40.334,59.47
40.436,57.73
40.538,57.52
40.639,67.60
40.741,59.44
40.843,59.48
40.945,59.49
41.046,60.13
41.148,58.31
41.250,58.53
41.353,59.12
41.455,60.49
41.558,51.44
41.660,51.44
41.760,68.41
41.862,60.25
41.965,66.62
42.067,66.62
42.167,50.70
42.268,69.47
42.372,68.17
42.473,67.25
42.574,67.25
42.674,59.76
42.776,59.30
42.879,62.28
42.981,66.87
43.082,66.87
43.183,69.76
43.287,68.66
43.387,70.13
43.488,70.13
43.588,62.54
43.690,63.59
43.793,53.70
43.895,53.70
43.996,73.48
44.098,65.35
44.201,73.95
44.301,74.69
44.403,72.93
44.503,72.93
44.604,74.31
44.704,74.31
44.806,65.03
44.909,55.03
45.011,55.03
45.111,76.15
45.212,76.15
45.313,71.58
45.416,69.71
45.518,69.71
45.618,73.40
45.719,73.40
45.820,63.07
45.922,62.95
46.025,63.10
46.126,62.62
46.229,71.32
46.329,70.71
46.431,70.71
46.532,63.89
46.635,63.24
46.736,63.44
46.838,62.86
46.941,70.54
47.043,70.54
47.143,71.67
47.245,62.58
47.347,62.55
47.449,62.93
47.551,62.85
47.654,70.87
47.754,70.87
47.855,63.54
47.957,62.50
48.060,61.60
48.162,63.03
48.264,63.03
48.366,71.66
48.467,62.17
48.568,69.41
48.672,53.94
48.773,53.94
48.874,73.97
48.975,63.62
49.079,55.49
49.180,55.49
49.281,71.74
49.382,54.11
49.485,54.11
49.586,65.72
49.688,62.44
49.791,54.17
49.892,72.21
49.993,72.21
50.095,63.26
50.196,62.77
50.299,64.16
50.400,71.84
50.501,66.39
50.602,64.21
50.706,72.76
50.806,72.76
50.908,73.76
51.011,57.85
51.113,57.85
51.213,71.69
51.317,70.30
51.417,67.83
51.518,67.83
51.619,67.45
51.723,67.26
51.824,67.26
51.925,71.89
52.027,68.94
52.128,68.94
52.229,67.56
52.329,68.34
52.431,68.67
52.542,52.76
52.644,72.08
52.745,70.73
52.847,70.92
52.948,70.63
53.049,70.43
53.152,69.23
53.253,69.52
53.354,68.88
53.455,67.82
53.556,68.47
53.657,70.06
53.760,69.09
53.862,67.69
53.963,69.89
54.064,73.37
54.164,72.64
54.265,72.16
54.367,71.19
54.468,73.74
54.569,72.22
54.670,72.03
54.770,72.37
54.871,70.23
54.973,70.09
55.075,68.17
55.176,68.41
55.277,67.88
55.378,69.62
55.479,67.57
55.581,69.12
55.683,71.12
55.784,69.46
55.885,71.36
55.986,70.98
56.088,70.62
56.191,69.84
56.292,69.75
56.393,70.68
56.494,67.77
56.595,67.70
56.699,65.76
56.800,66.64
56.900,65.39
57.001,67.87
57.102,69.37
57.205,68.71
57.307,71.64
57.408,71.65
57.509,70.28
57.610,68.27
57.713,67.14
57.815,65.52
57.915,67.48
58.016,70.77
58.116,68.24
58.217,72.96
58.320,76.31
58.421,74.92
58.522,74.15
58.623,71.96
58.724,74.97
58.826,70.60
58.928,70.30
59.028,69.94
59.129,69.13
59.230,70.95
59.331,69.35
59.433,68.59
59.534,67.63
59.634,66.75
59.735,67.69
59.836,66.76
59.937,67.40
60.038,67.43
60.139,65.72
60.239,67.00
60.340,66.20
60.441,65.77
60.542,66.68
60.643,66.68
60.744,58.46
60.845,67.47
60.948,67.47
61.049,60.74
61.150,59.86
61.252,66.44
61.353,58.74
61.454,68.98
61.556,69.38
61.660,53.47
61.761,53.47
61.862,69.90
61.964,67.80
62.065,69.75
62.166,69.75
62.267,59.53
62.369,68.94
62.472,68.94
62.574,60.84
62.677,52.87
62.779,52.87
62.879,70.77
62.980,63.07
63.084,52.50
63.185,71.07
63.286,71.07
63.390,68.05
63.491,65.72
63.592,67.44
63.693,68.90
63.793,68.90
63.894,67.82
63.998,52.00
64.099,70.57
64.200,70.57
64.301,68.01
64.401,68.88
64.503,68.88
64.605,69.59
64.707,60.28
64.810,52.75
64.912,52.75
65.012,71.45
65.114,70.68
65.215,70.68
65.317,63.72
65.417,63.18
65.519,72.93
65.621,64.87
65.725,71.30
65.826,72.31
65.927,72.31
66.028,63.29
66.131,56.03
66.233,56.03
66.334,72.72
66.436,64.29
66.536,63.15
66.640,73.57
66.741,73.57
66.842,73.50
66.943,64.46
67.045,64.69
67.148,66.26
67.248,71.74
67.350,64.96
67.452,64.92
67.554,66.43
67.657,56.66
67.759,56.66
67.859,76.08
67.961,66.01
68.064,56.26
68.166,56.26
68.267,66.28
68.368,64.45
68.470,57.25
68.572,72.54
68.675,56.63
68.777,56.63
68.878,73.75
68.980,72.95
69.081,70.67
69.182,70.67
69.283,63.03
69.386,69.27
69.488,69.27
69.591,54.31
69.693,54.31
69.793,70.27
69.896,66.76
69.997,69.08
70.098,69.08
70.199,59.40
70.302,69.09
70.403,68.21
70.506,67.61
70.607,67.38
70.707,67.38
70.809,59.86
70.911,58.75
71.012,58.71
71.114,59.00
71.217,51.33
