time,Gain
2025-01-31T19:14:33.584Z,66.5
2025-01-31T19:14:33.675Z,67.6
2025-01-31T19:14:33.770Z,67.6
2025-01-31T19:14:33.863Z,66.5
2025-01-31T19:14:33.980Z,65.6
2025-01-31T19:14:34.073Z,66.9
2025-01-31T19:14:34.166Z,68.3
2025-01-31T19:14:34.282Z,67.7
2025-01-31T19:14:34.376Z,68.3
2025-01-31T19:14:34.470Z,69.8
2025-01-31T19:14:34.563Z,71.4
2025-01-31T19:14:34.679Z,69.7
2025-01-31T19:14:34.773Z,69.8
2025-01-31T19:14:34.866Z,70.3
2025-01-31T19:14:34.983Z,71.5
2025-01-31T19:14:35.076Z,69.1
2025-01-31T19:14:35.170Z,68.1
2025-01-31T19:14:35.263Z,65.8
2025-01-31T19:14:35.380Z,66.0
2025-01-31T19:14:35.472Z,67.9
2025-01-31T19:14:35.566Z,67.4
2025-01-31T19:14:35.683Z,66.7
2025-01-31T19:14:35.776Z,66.7
2025-01-31T19:14:35.870Z,65.5
2025-01-31T19:14:35.963Z,65.9
2025-01-31T19:14:36.080Z,65.7
2025-01-31T19:14:36.173Z,66.6
2025-01-31T19:14:36.266Z,67.8
2025-01-31T19:14:36.383Z,63.6
2025-01-31T19:14:36.476Z,67.2
2025-01-31T19:14:36.570Z,65.2
2025-01-31T19:14:36.663Z,64.7
2025-01-31T19:14:36.780Z,66.6
2025-01-31T19:14:36.873Z,68.6
2025-01-31T19:14:36.966Z,64.3
2025-01-31T19:14:37.083Z,66.8
2025-01-31T19:14:37.176Z,65.6
2025-01-31T19:14:37.270Z,66.1
2025-01-31T19:14:37.363Z,66.8
2025-01-31T19:14:37.480Z,66.5
2025-01-31T19:14:37.573Z,67.9
2025-01-31T19:14:37.666Z,70.1
2025-01-31T19:14:37.783Z,68.8
2025-01-31T19:14:37.876Z,69.2
2025-01-31T19:14:37.970Z,67.5
2025-01-31T19:14:38.063Z,68.4
2025-01-31T19:14:38.180Z,68.7
2025-01-31T19:14:38.273Z,67.9
2025-01-31T19:14:38.366Z,68.7
2025-01-31T19:14:38.482Z,68.3
2025-01-31T19:14:38.576Z,69.6
2025-01-31T19:14:38.670Z,70.1
2025-01-31T19:14:38.763Z,69.7
2025-01-31T19:14:38.880Z,70.7
2025-01-31T19:14:38.972Z,72.8
2025-01-31T19:14:39.066Z,70.4
2025-01-31T19:14:39.182Z,68.8
2025-01-31T19:14:39.276Z,71.1
2025-01-31T19:14:39.370Z,74.3
