time,Gain
2025-02-02T10:47:01.973Z,33.8
2025-02-02T10:47:02.058Z,34.5
2025-02-02T10:47:02.167Z,34.6
2025-02-02T10:47:02.271Z,34.7
2025-02-02T10:47:02.357Z,36.5
2025-02-02T10:47:02.465Z,34.4
2025-02-02T10:47:02.571Z,33.1
2025-02-02T10:47:02.656Z,34.9
2025-02-02T10:47:02.763Z,31.7
2025-02-02T10:47:02.870Z,33.3
2025-02-02T10:47:02.955Z,31.5
2025-02-02T10:47:03.062Z,37.7
2025-02-02T10:47:03.169Z,37.0
2025-02-02T10:47:03.274Z,35.5
2025-02-02T10:47:03.360Z,33.9
2025-02-02T10:47:03.467Z,30.9
2025-02-02T10:47:03.574Z,34.6
2025-02-02T10:47:03.658Z,35.2
2025-02-02T10:47:03.766Z,32.1
2025-02-02T10:47:03.873Z,35.3
2025-02-02T10:47:03.957Z,35.3
2025-02-02T10:47:04.065Z,36.7
2025-02-02T10:47:04.171Z,32.0
2025-02-02T10:47:04.256Z,35.1
2025-02-02T10:47:04.362Z,34.7
2025-02-02T10:47:04.470Z,35.5
2025-02-02T10:47:04.554Z,32.1
2025-02-02T10:47:04.662Z,33.3
2025-02-02T10:47:04.769Z,32.6
2025-02-02T10:47:04.875Z,31.2
2025-02-02T10:47:04.960Z,33.5
2025-02-02T10:47:05.065Z,30.3
2025-02-02T10:47:05.174Z,32.9
2025-02-02T10:47:05.257Z,33.9
2025-02-02T10:47:05.364Z,30.1
2025-02-02T10:47:05.470Z,34.4
2025-02-02T10:47:05.556Z,30.9
2025-02-02T10:47:05.665Z,29.9
2025-02-02T10:47:05.771Z,29.8
2025-02-02T10:47:05.856Z,32.9
2025-02-02T10:47:05.963Z,32.3
2025-02-02T10:47:06.070Z,33.6
2025-02-02T10:47:06.154Z,32.3
2025-02-02T10:47:06.262Z,29.6
2025-02-02T10:47:06.367Z,32.3
2025-02-02T10:47:06.475Z,33.3
2025-02-02T10:47:06.560Z,32.5
2025-02-02T10:47:06.667Z,32.2
2025-02-02T10:47:06.774Z,31.0
2025-02-02T10:47:06.858Z,33.4
2025-02-02T10:47:06.966Z,30.9
2025-02-02T10:47:07.072Z,29.8
2025-02-02T10:47:07.156Z,33.5
2025-02-02T10:47:07.264Z,30.1
2025-02-02T10:47:07.369Z,33.2
2025-02-02T10:47:07.455Z,32.5
2025-02-02T10:47:07.563Z,34.5
2025-02-02T10:47:07.670Z,32.5
2025-02-02T10:47:07.753Z,37.7
2025-02-02T10:47:07.862Z,46.3
2025-02-02T10:47:07.968Z,42.2
2025-02-02T10:47:08.074Z,33.7
2025-02-02T10:47:08.159Z,41.7
2025-02-02T10:47:08.266Z,37.5
2025-02-02T10:47:08.377Z,30.4
2025-02-02T10:47:08.457Z,30.0
2025-02-02T10:47:08.565Z,33.1
2025-02-02T10:47:08.672Z,28.0
2025-02-02T10:47:08.756Z,28.5
2025-02-02T10:47:08.863Z,32.0
2025-02-02T10:47:08.970Z,31.6
2025-02-02T10:47:09.055Z,32.6
2025-02-02T10:47:09.162Z,32.0
2025-02-02T10:47:09.269Z,31.8
2025-02-02T10:47:09.354Z,34.0
2025-02-02T10:47:09.460Z,33.3
2025-02-02T10:47:09.568Z,31.9
2025-02-02T10:47:09.674Z,33.7
2025-02-02T10:47:09.759Z,32.5
2025-02-02T10:47:09.866Z,33.6
2025-02-02T10:47:09.973Z,31.9
2025-02-02T10:47:10.057Z,30.7
2025-02-02T10:47:10.164Z,30.0
2025-02-02T10:47:10.271Z,32.3
2025-02-02T10:47:10.356Z,32.5
2025-02-02T10:47:10.463Z,31.0
2025-02-02T10:47:10.569Z,31.7
2025-02-02T10:47:10.655Z,33.3
2025-02-02T10:47:10.762Z,33.8
2025-02-02T10:47:10.869Z,35.2
2025-02-02T10:47:10.953Z,37.0
2025-02-02T10:47:11.061Z,31.8
2025-02-02T10:47:11.167Z,33.1
2025-02-02T10:47:11.274Z,30.5
2025-02-02T10:47:11.359Z,32.6
2025-02-02T10:47:11.465Z,31.6
2025-02-02T10:47:11.572Z,33.3
2025-02-02T10:47:11.657Z,36.1
2025-02-02T10:47:11.765Z,32.1
2025-02-02T10:47:11.872Z,34.6
2025-02-02T10:47:11.956Z,35.8
