time,gain
0.061,77.73
0.162,68.48
0.263,68.77
0.363,66.59
0.465,75.22
0.565,75.08
0.666,74.02
0.767,74.37
0.867,73.19
0.968,74.94
1.069,74.95
1.169,75.24
1.270,74.16
1.371,74.17
1.472,75.10
1.573,76.00
1.674,74.91
1.774,75.02
1.875,74.75
1.975,78.01
2.076,76.59
2.177,77.18
2.277,77.41
2.378,76.96
2.479,76.68
2.580,75.86
2.681,76.44
2.782,76.56
2.882,76.83
2.983,77.54
3.083,76.38
3.184,77.59
3.285,77.72
3.386,77.90
3.486,78.40
3.587,78.74
3.688,78.05
3.789,78.65
3.890,79.48
3.990,79.49
4.091,79.23
4.192,80.74
4.293,80.68
4.394,81.71
4.494,81.20
4.595,82.70
4.696,81.61
4.797,83.54
4.897,82.60
4.998,80.75
5.099,80.93
5.200,80.56
5.301,81.25
5.402,81.79
5.503,79.99
5.603,79.83
5.704,79.54
5.805,78.46
5.906,77.81
6.007,78.30
6.108,77.00
6.208,77.18
6.312,76.65
6.413,76.50
6.514,77.22
6.615,76.39
6.715,76.94
6.816,78.29
6.917,76.74
7.018,76.34
7.119,76.02
7.220,76.63
7.320,76.27
7.421,73.88
7.522,74.15
7.624,75.53
7.727,74.77
7.828,73.67
7.929,73.35
8.030,74.09
8.131,72.70
8.232,74.91
8.333,74.53
8.435,73.48
8.537,73.15
8.639,73.60
8.741,74.10
8.842,75.07
8.943,75.45
9.045,74.11
9.145,73.18
9.247,75.19
9.348,73.82
9.450,73.38
9.552,72.75
9.655,73.16
9.757,74.54
9.859,74.56
9.961,74.37
10.063,73.03
10.165,71.84
10.268,70.71
10.370,70.98
10.472,71.40
10.574,71.85
10.677,72.71
10.779,71.82
10.880,70.47
10.982,71.32
11.083,71.45
11.185,70.76
11.287,70.11
11.389,69.05
11.491,68.94
11.593,67.36
11.696,69.37
11.798,71.30
11.899,64.98
12.001,62.22
12.103,60.99
12.205,71.30
12.307,69.47
12.409,72.27
12.512,72.22
12.614,71.23
12.716,69.16
12.819,68.30
12.922,67.34
13.024,66.37
13.125,65.72
13.229,49.80
13.331,69.55
13.431,68.27
13.532,66.86
13.635,67.36
13.737,66.99
13.837,68.91
13.938,68.91
14.040,65.75
14.142,65.75
14.245,70.09
14.345,70.09
14.447,66.40
14.550,66.40
14.651,61.72
14.753,62.21
14.855,61.85
14.957,67.49
15.058,69.29
15.159,69.29
15.260,60.95
15.362,60.98
15.465,53.58
15.566,71.95
15.667,71.95
15.769,72.48
15.869,61.70
15.974,53.74
16.076,53.74
16.179,56.46
16.280,72.72
16.381,72.72
16.482,62.17
16.583,70.93
16.685,64.16
16.788,70.16
16.892,70.78
16.994,70.57
17.095,71.91
17.196,74.69
17.297,75.66
17.398,71.48
17.499,72.54
17.600,71.49
17.701,73.24
17.802,73.24
17.902,74.42
18.004,74.52
18.107,74.52
18.209,63.89
18.311,63.65
18.414,72.31
18.515,72.31
18.616,72.48
18.719,58.20
18.821,58.20
18.922,74.21
19.024,73.96
19.126,72.36
19.227,69.96
19.328,74.36
19.428,74.36
19.530,64.49
19.633,58.00
19.735,72.93
19.835,72.93
19.937,76.02
20.039,76.02
20.142,74.69
20.243,72.52
20.343,72.52
20.445,64.66
20.548,56.82
20.650,74.06
20.750,74.06
20.852,72.64
20.954,72.64
21.056,72.50
21.158,72.50
21.260,72.00
21.361,72.00
21.463,64.20
21.565,64.70
21.668,56.72
21.770,73.19
21.870,73.21
21.971,73.21
22.072,70.34
22.175,54.42
22.277,74.21
22.378,73.87
22.479,57.95
22.580,75.74
22.681,75.74
22.782,67.46
22.885,59.50
22.987,68.79
23.089,65.56
23.190,64.39
23.293,64.82
23.396,64.59
23.498,70.86
23.598,70.86
23.700,61.62
23.803,53.37
23.905,53.37
24.006,63.06
24.107,62.46
24.209,69.42
24.312,53.50
24.414,70.34
24.514,70.34
24.616,61.06
24.719,51.94
24.821,72.55
24.925,70.79
25.025,70.53
25.126,72.06
25.227,72.14
25.328,72.12
25.429,72.12
25.530,62.87
25.634,55.19
25.736,71.97
25.836,71.97
25.941,69.82
26.043,70.78
26.143,70.43
26.244,71.74
26.345,71.63
26.446,71.56
26.546,72.65
26.647,72.65
26.748,71.87
26.849,71.87
26.950,63.87
27.050,63.27
27.151,69.14
27.251,70.61
27.352,71.44
27.452,73.15
27.553,71.07
27.654,71.07
27.755,69.58
27.856,72.23
27.956,72.26
28.057,72.26
28.158,65.83
28.263,73.73
28.364,73.27
28.464,75.25
28.565,73.31
28.665,73.74
28.767,74.25
28.867,74.89
28.968,74.12
29.070,73.90
29.171,78.59
29.272,78.59
29.373,67.10
29.475,68.78
29.577,67.72
29.680,75.16
29.782,78.31
29.882,78.07
29.983,78.07
30.084,70.44
30.187,78.01
30.288,79.23
30.388,79.23
30.490,70.20
30.592,78.20
30.694,78.97
30.795,78.97
30.896,78.81
30.998,69.18
31.100,70.54
31.202,79.49
31.302,79.16
31.404,79.62
31.507,79.32
31.609,79.24
31.709,79.24
31.811,73.71
31.913,73.45
32.015,72.46
32.117,71.46
32.220,80.58
32.321,80.58
32.423,72.73
32.526,81.38
32.627,81.04
32.728,81.04
32.830,71.68
32.932,72.20
33.034,72.70
33.137,81.40
33.240,81.63
33.341,81.15
33.442,80.67
33.542,80.67
33.644,80.12
33.747,64.20
33.849,81.99
33.950,81.99
34.051,71.32
34.153,71.85
34.255,73.59
34.357,73.92
34.460,78.94
34.560,78.94
34.662,71.36
34.764,72.26
34.866,71.86
34.968,63.48
35.070,80.10
35.171,77.96
35.272,77.96
35.373,69.42
35.476,76.39
35.578,79.46
35.679,79.46
35.780,70.77
35.882,68.41
35.983,77.94
36.086,77.94
36.188,67.82
36.289,67.52
36.391,75.95
36.493,67.71
36.595,67.04
36.697,69.13
36.799,76.18
36.900,76.18
37.004,76.11
37.105,76.29
37.206,76.40
37.306,76.43
37.407,76.43
37.508,76.56
37.611,76.56
37.713,69.22
37.816,76.95
37.917,79.08
38.018,77.52
38.121,76.56
38.222,76.46
38.323,75.24
38.424,75.24
38.525,66.74
38.627,66.96
38.730,75.23
38.831,75.23
38.932,68.04
39.034,67.99
39.137,69.49
39.239,77.26
39.339,77.26
39.441,67.22
39.544,60.64
39.646,77.41
39.746,77.41
39.848,67.67
39.951,58.43
40.054,75.41
40.155,75.51
40.256,76.50
40.357,76.50
40.458,65.51
40.561,59.14
40.663,75.01
40.763,75.01
40.865,64.77
40.968,64.05
41.069,64.46
41.171,64.87
41.273,73.17
41.375,71.69
41.476,71.69
41.578,64.91
41.681,55.89
41.782,73.62
41.883,73.62
41.984,65.29
42.087,57.33
42.189,64.44
42.291,62.87
42.394,70.65
42.495,70.65
42.596,71.94
42.700,55.93
42.801,71.57
42.902,71.08
43.002,71.08
43.104,62.76
43.205,61.92
43.306,61.92
43.409,54.26
43.511,71.35
43.612,71.35
43.713,61.14
43.815,63.70
43.918,72.38
44.019,71.81
44.121,71.81
44.223,64.09
44.325,73.51
44.454,57.60
48.736,80.47
48.838,72.48
48.939,77.80
49.041,71.89
49.143,79.58
49.246,78.83
49.347,77.29
49.448,77.29
49.550,68.87
49.652,68.57
49.754,68.76
49.855,67.34
49.956,74.24
50.058,74.37
50.159,74.23
50.260,74.23
50.361,73.20
50.462,72.24
50.565,78.38
50.665,75.37
50.766,73.55
50.866,74.95
50.967,74.81
51.069,74.81
51.172,59.57
51.273,77.32
51.374,75.75
51.476,75.34
51.578,75.34
51.681,74.48
51.781,74.48
51.884,58.97
51.985,75.11
52.086,74.25
52.186,74.25
52.288,66.64
52.391,57.18
52.493,76.87
52.594,74.17
52.697,58.25
52.799,75.93
52.900,74.20
53.000,74.20
53.102,66.49
53.204,66.28
53.307,67.46
53.409,64.69
53.512,57.25
53.613,75.82
53.714,75.82
53.815,66.99
53.917,65.38
54.019,73.39
54.122,57.48
54.223,76.79
54.324,76.79
54.426,66.70
54.528,66.84
54.631,75.26
54.731,75.26
54.833,65.69
54.935,59.74
55.037,76.30
55.139,76.30
55.242,76.90
55.344,76.91
55.445,75.43
55.546,75.43
55.647,69.08
55.749,68.13
55.853,74.71
55.954,75.99
56.054,76.09
56.155,76.10
56.256,75.40
56.357,74.82
56.457,74.82
56.560,72.88
56.661,73.02
56.762,73.02
56.862,65.49
56.963,73.61
57.064,73.61
57.166,65.65
57.269,57.37
57.372,73.65
57.473,73.65
57.573,64.10
57.675,62.52
57.777,63.67
57.879,71.44
57.980,71.89
58.083,72.83
58.184,73.48
58.285,73.48
58.386,64.54
58.487,63.78
58.590,58.73
58.692,72.59
58.793,72.59
58.894,63.42
58.995,61.77
59.096,61.75
59.199,52.56
59.301,52.56
59.402,63.27
59.503,71.15
59.606,55.23
59.708,73.08
59.808,73.08
59.910,63.86
