time,Gain
2025-01-30T19:02:12.871Z,70.7
2025-01-30T19:02:12.972Z,65.7
2025-01-30T19:02:13.074Z,73.1
2025-01-30T19:02:13.169Z,66.6
2025-01-30T19:02:13.271Z,71.5
2025-01-30T19:02:13.372Z,64.4
2025-01-30T19:02:13.473Z,67.3
2025-01-30T19:02:13.570Z,68.6
2025-01-30T19:02:13.671Z,72.1
2025-01-30T19:02:13.772Z,70.2
2025-01-30T19:02:13.873Z,67.6
2025-01-30T19:02:13.969Z,70.5
2025-01-30T19:02:14.071Z,67.4
2025-01-30T19:02:14.172Z,71.8
2025-01-30T19:02:14.273Z,67.0
2025-01-30T19:02:14.369Z,66.9
2025-01-30T19:02:14.471Z,68.8
2025-01-30T19:02:14.572Z,65.4
2025-01-30T19:02:14.673Z,64.8
2025-01-30T19:02:14.769Z,66.2
2025-01-30T19:02:14.870Z,64.8
2025-01-30T19:02:14.971Z,69.6
2025-01-30T19:02:15.072Z,68.3
2025-01-30T19:02:15.168Z,67.5
2025-01-30T19:02:15.269Z,70.0
2025-01-30T19:02:15.372Z,71.5
2025-01-30T19:02:15.473Z,67.8
2025-01-30T19:02:15.569Z,67.1
2025-01-30T19:02:15.671Z,64.3
2025-01-30T19:02:15.772Z,64.6
2025-01-30T19:02:15.873Z,69.1
2025-01-30T19:02:15.969Z,68.6
2025-01-30T19:02:16.071Z,65.4
2025-01-30T19:02:16.170Z,65.0
2025-01-30T19:02:16.273Z,65.3
2025-01-30T19:02:16.369Z,69.0
2025-01-30T19:02:16.471Z,67.6
2025-01-30T19:02:16.571Z,64.6
2025-01-30T19:02:16.672Z,66.3
2025-01-30T19:02:16.769Z,65.5
2025-01-30T19:02:16.870Z,69.6
2025-01-30T19:02:16.972Z,65.3
2025-01-30T19:02:17.073Z,64.8
2025-01-30T19:02:17.169Z,65.3
2025-01-30T19:02:17.270Z,66.9
2025-01-30T19:02:17.370Z,69.7
2025-01-30T19:02:17.473Z,69.0
2025-01-30T19:02:17.569Z,69.7
2025-01-30T19:02:17.669Z,68.5
2025-01-30T19:02:17.772Z,70.5
2025-01-30T19:02:17.873Z,67.9
2025-01-30T19:02:17.969Z,64.9
2025-01-30T19:02:18.071Z,66.7
2025-01-30T19:02:18.172Z,65.2
2025-01-30T19:02:18.273Z,71.1
2025-01-30T19:02:18.369Z,65.8
2025-01-30T19:02:18.471Z,64.7
2025-01-30T19:02:18.572Z,66.5
2025-01-30T19:02:18.673Z,66.9
2025-01-30T19:02:18.769Z,63.0
2025-01-30T19:02:18.871Z,67.8
2025-01-30T19:02:18.972Z,65.1
2025-01-30T19:02:19.072Z,68.0
2025-01-30T19:02:19.169Z,66.3
2025-01-30T19:02:19.270Z,67.2
2025-01-30T19:02:19.370Z,64.8
2025-01-30T19:02:19.473Z,66.5
2025-01-30T19:02:19.569Z,68.6
2025-01-30T19:02:19.669Z,63.7
2025-01-30T19:02:19.772Z,65.1
2025-01-30T19:02:19.872Z,65.0
2025-01-30T19:02:19.969Z,66.3
2025-01-30T19:02:20.070Z,65.0
2025-01-30T19:02:20.172Z,64.9
2025-01-30T19:02:20.273Z,62.6
2025-01-30T19:02:20.369Z,69.2
2025-01-30T19:02:20.470Z,68.7
2025-01-30T19:02:20.572Z,68.1
2025-01-30T19:02:20.673Z,66.5
2025-01-30T19:02:20.768Z,66.4
2025-01-30T19:02:20.870Z,66.0
2025-01-30T19:02:20.972Z,62.6
2025-01-30T19:02:21.073Z,67.0
2025-01-30T19:02:21.169Z,65.5
2025-01-30T19:02:21.271Z,65.7
2025-01-30T19:02:21.370Z,65.5
2025-01-30T19:02:21.472Z,66.3
2025-01-30T19:02:21.568Z,68.2
2025-01-30T19:02:21.670Z,65.0
2025-01-30T19:02:21.771Z,63.3
2025-01-30T19:02:21.873Z,62.4
2025-01-30T19:02:21.968Z,66.0
2025-01-30T19:02:22.069Z,67.2
2025-01-30T19:02:22.171Z,65.6
2025-01-30T19:02:22.272Z,66.4
2025-01-30T19:02:22.368Z,66.1
2025-01-30T19:02:22.469Z,66.2
2025-01-30T19:02:22.571Z,63.3
2025-01-30T19:02:22.672Z,68.1
2025-01-30T19:02:22.768Z,67.6
2025-01-30T19:02:22.869Z,68.6
2025-01-30T19:02:22.971Z,65.5
2025-01-30T19:02:23.072Z,70.4
2025-01-30T19:02:23.168Z,65.9
2025-01-30T19:02:23.270Z,61.1
2025-01-30T19:02:23.370Z,66.2
2025-01-30T19:02:23.472Z,62.5
2025-01-30T19:02:23.568Z,66.2
2025-01-30T19:02:23.669Z,65.4
2025-01-30T19:02:23.770Z,66.7
2025-01-30T19:02:23.872Z,67.4
2025-01-30T19:02:23.968Z,65.1
2025-01-30T19:02:24.069Z,62.5
2025-01-30T19:02:24.171Z,63.6
2025-01-30T19:02:24.272Z,63.0
2025-01-30T19:02:24.368Z,64.9
2025-01-30T19:02:24.469Z,65.8
2025-01-30T19:02:24.570Z,64.3
2025-01-30T19:02:24.672Z,64.0
2025-01-30T19:02:24.767Z,66.2
2025-01-30T19:02:24.869Z,67.6
2025-01-30T19:02:24.970Z,67.9
2025-01-30T19:02:25.072Z,68.6
2025-01-30T19:02:25.167Z,65.9
2025-01-30T19:02:25.269Z,68.6
2025-01-30T19:02:25.371Z,67.0
2025-01-30T19:02:25.472Z,68.0
2025-01-30T19:02:25.568Z,65.0
2025-01-30T19:02:25.669Z,65.0
2025-01-30T19:02:25.770Z,66.2
2025-01-30T19:02:25.872Z,65.8
2025-01-30T19:02:25.967Z,68.0
2025-01-30T19:02:26.069Z,70.1
2025-01-30T19:02:26.170Z,67.7
2025-01-30T19:02:26.272Z,69.0
2025-01-30T19:02:26.368Z,65.1
2025-01-30T19:02:26.469Z,71.1
2025-01-30T19:02:26.570Z,71.5
2025-01-30T19:02:26.672Z,69.0
2025-01-30T19:02:26.768Z,68.0
