time,gain
0.000,66.68
0.101,57.42
0.202,67.48
0.303,68.07
0.403,66.52
0.504,70.00
0.604,69.77
0.705,70.07
0.805,72.44
0.906,71.32
1.006,69.32
1.107,66.71
1.208,66.71
1.308,67.50
1.409,67.50
1.510,60.01
1.610,67.94
1.711,68.13
1.811,71.09
1.912,68.43
2.012,72.18
2.113,68.05
2.214,70.00
2.314,65.06
2.415,69.27
2.515,68.42
2.616,70.73
2.717,71.13
2.817,69.58
2.918,70.65
3.019,70.11
3.119,69.74
3.220,69.67
3.320,66.12
3.421,67.29
3.522,67.96
3.623,67.68
3.724,70.89
3.825,70.68
3.925,71.15
4.026,70.20
4.127,79.82
4.228,78.11
4.329,73.39
4.430,67.82
4.531,68.92
4.632,71.34
4.733,74.20
4.835,73.41
4.936,71.91
5.037,73.77
5.138,72.55
5.239,72.99
5.340,69.61
5.441,69.08
5.542,69.01
5.643,68.44
5.744,70.64
5.845,70.38
5.946,70.04
6.047,71.15
6.148,70.17
6.248,68.82
6.349,68.16
6.450,67.11
6.551,72.39
6.652,70.33
6.753,70.11
6.853,70.11
6.955,62.73
7.057,60.50
7.159,59.24
7.261,62.50
7.363,69.06
7.464,69.06
7.565,60.00
7.669,52.27
7.770,70.42
7.871,70.42
7.972,63.05
8.076,53.79
8.177,53.79
8.278,69.42
8.379,61.73
8.483,53.76
8.584,53.76
8.685,71.63
8.786,61.95
8.887,62.31
8.991,49.75
9.092,68.78
9.193,68.78
9.295,61.60
9.398,52.63
9.499,70.20
9.600,70.20
9.702,62.37
9.803,58.48
9.905,58.48
10.007,63.67
10.110,64.41
10.212,64.41
10.313,59.22
10.415,69.00
10.517,68.63
10.617,68.63
10.718,62.64
10.820,70.53
10.922,70.53
11.024,59.60
11.128,69.38
11.229,68.89
11.329,68.89
11.431,59.45
11.534,53.45
11.636,70.27
11.736,70.27
11.837,68.32
11.938,68.32
12.040,58.54
12.142,60.16
12.246,51.81
12.347,70.18
12.448,70.18
12.549,62.26
12.652,55.13
12.754,71.93
12.855,71.48
12.958,71.84
13.059,73.45
13.160,73.63
13.261,73.63
13.362,65.65
13.466,53.63
13.567,70.64
13.668,70.64
13.770,62.48
13.871,60.46
13.974,61.03
14.076,62.10
14.178,62.93
14.281,57.95
14.383,71.95
14.484,71.95
14.585,62.65
14.687,64.08
14.790,70.94
14.891,70.94
14.992,60.98
15.094,59.26
15.197,68.94
15.298,68.94
15.400,62.67
15.503,62.90
15.604,70.89
15.707,53.65
15.809,71.62
15.910,70.28
16.013,54.37
16.115,74.92
16.215,74.92
16.317,64.60
16.420,55.89
16.522,72.12
16.622,72.12
16.724,63.21
16.825,65.57
16.927,66.56
17.029,61.90
17.131,74.44
17.233,66.83
17.336,63.45
17.439,53.08
17.541,53.08
17.641,70.10
17.742,70.10
17.843,71.29
17.947,71.27
18.048,69.21
18.149,69.21
18.250,62.88
18.352,60.54
18.455,67.98
18.556,67.98
18.657,60.08
18.759,62.10
18.868,70.53
18.970,68.37
19.072,70.06
19.173,72.26
19.274,70.79
19.377,72.85
19.477,75.38
19.580,74.14
19.681,74.37
19.782,72.75
19.882,69.15
19.983,67.65
20.085,69.37
20.187,68.45
20.289,68.57
20.390,70.08
20.491,71.73
20.592,72.06
20.695,71.80
20.796,70.36
20.897,69.17
21.003,68.67
21.104,68.05
21.205,67.68
21.305,68.01
21.406,67.51
21.507,68.36
21.609,68.45
21.711,67.81
21.812,70.83
21.913,71.16
22.014,73.29
22.115,73.92
22.216,74.13
22.318,76.12
22.420,72.69
22.521,70.16
22.622,71.40
22.722,67.78
22.823,68.02
22.924,67.88
23.026,70.20
23.128,69.80
23.230,68.13
23.331,72.12
23.432,71.52
23.534,71.01
23.637,71.70
23.738,70.28
23.839,71.46
23.939,74.43
24.040,72.36
24.143,70.86
24.245,71.28
24.346,72.52
24.447,73.22
24.548,72.84
24.650,71.71
24.752,74.60
24.854,72.59
24.955,71.13
25.056,74.54
25.157,74.47
25.260,74.07
25.360,71.37
25.462,71.72
25.563,71.02
25.664,70.24
25.766,68.00
25.868,67.77
25.969,68.51
26.070,71.21
